SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2006-07,25.0,SEA,NBA,PG,71.0,58.0,29.5,4.2,9.8,0.433,0.7,2.0,0.353,3.5,7.8,0.453,0.468,1.8,2.2,0.805,0.4,1.9,2.3,5.2,1.2,0.3,2.2,2.5,11.0,Luke Ridnour
2007-08,26.0,SEA,NBA,PG,61.0,5.0,20.0,2.4,6.0,0.399,0.3,1.2,0.296,2.1,4.9,0.424,0.428,1.3,1.5,0.857,0.2,1.3,1.5,4.0,0.6,0.2,1.3,2.0,6.4,Luke Ridnour
2008-09,27.0,MIL,NBA,PG,72.0,50.0,28.2,3.5,8.6,0.403,0.8,2.2,0.35,2.7,6.4,0.42,0.447,1.8,2.1,0.869,0.5,2.6,3.0,5.1,1.3,0.2,1.8,2.8,9.6,Luke Ridnour
2009-10,28.0,MIL,NBA,PG,82.0,0.0,21.5,4.0,8.4,0.478,0.8,2.2,0.381,3.2,6.2,0.513,0.528,1.5,1.7,0.907,0.3,1.5,1.7,4.0,0.7,0.1,1.3,2.2,10.4,Luke Ridnour
2010-11,29.0,MIN,NBA,PG,71.0,66.0,30.4,4.5,9.6,0.468,1.1,2.6,0.44,3.4,7.0,0.479,0.528,1.7,1.9,0.883,0.5,2.3,2.8,5.4,1.3,0.1,2.2,2.1,11.8,Luke Ridnour
2011-12,30.0,MIN,NBA,SG,53.0,53.0,33.0,4.6,10.4,0.44,0.9,2.9,0.322,3.6,7.5,0.485,0.485,2.0,2.2,0.891,0.4,2.3,2.7,4.8,1.1,0.3,1.8,2.6,12.1,Luke Ridnour
2012-13,31.0,MIN,NBA,SG,82.0,82.0,30.2,4.5,9.9,0.453,0.8,2.6,0.311,3.7,7.3,0.503,0.493,1.7,2.0,0.848,0.5,2.0,2.5,3.8,1.0,0.2,1.6,2.3,11.5,Luke Ridnour
2013-14,32.0,TOT,NBA,PG,61.0,14.0,18.7,2.1,5.4,0.385,0.6,1.8,0.343,1.5,3.6,0.406,0.442,0.3,0.4,0.654,0.4,1.2,1.6,2.9,0.5,0.1,1.1,1.5,5.0,Luke Ridnour
2013-14,32.0,MIL,NBA,PG,36.0,12.0,21.2,2.3,6.1,0.384,0.7,1.9,0.368,1.6,4.2,0.391,0.441,0.4,0.5,0.684,0.4,1.3,1.7,3.4,0.6,0.1,1.3,1.5,5.7,Luke Ridnour
2013-14,32.0,CHA,NBA,PG,25.0,2.0,15.1,1.7,4.3,0.389,0.5,1.6,0.3,1.2,2.7,0.441,0.444,0.2,0.3,0.571,0.3,1.1,1.4,2.2,0.4,0.2,0.8,1.5,4.0,Luke Ridnour
2014-15,33.0,ORL,NBA,PG,47.0,0.0,14.5,1.6,3.7,0.426,0.4,1.3,0.317,1.2,2.4,0.487,0.483,0.4,0.4,0.857,0.2,1.3,1.4,2.0,0.4,0.1,0.8,1.4,4.0,Luke Ridnour
