SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2010-11,21.0,LAC,NBA,PG,81.0,1841.0,0.424,0.459,0.47,0.487,0.276,0.358,0.457,0.498,0.744,0.763,0.499,0.541,0.274,0.3,0.239,0.222,92.0,97.0,77.0,92.0,97.0,92.0,91.0,108.0,-40.4,-46.6,Eric Bledsoe
2011-12,22.0,LAC,NBA,PG,40.0,464.0,0.389,0.448,0.448,0.477,0.2,0.349,0.413,0.487,0.636,0.752,0.454,0.527,0.349,0.276,0.238,0.226,87.0,94.0,57.0,85.0,85.0,86.0,127.0,105.0,-18.8,-21.2,Eric Bledsoe
2012-13,23.0,LAC,NBA,PG,76.0,1553.0,0.445,0.453,0.453,0.483,0.397,0.359,0.473,0.496,0.791,0.753,0.513,0.535,0.236,0.27,0.137,0.243,98.0,94.0,111.0,95.0,105.0,96.0,87.0,56.0,-26.9,-27.4,Eric Bledsoe
2013-14,24.0,PHO,NBA,PG,43.0,1416.0,0.477,0.454,0.517,0.488,0.357,0.36,0.522,0.501,0.772,0.756,0.578,0.541,0.426,0.284,0.252,0.259,105.0,106.0,99.0,104.0,102.0,107.0,150.0,97.0,22.8,48.7,Eric Bledsoe
2014-15,25.0,PHO,NBA,PG,81.0,2800.0,0.447,0.449,0.491,0.485,0.324,0.35,0.489,0.496,0.8,0.75,0.555,0.534,0.422,0.273,0.26,0.268,100.0,101.0,92.0,99.0,107.0,104.0,154.0,97.0,-13.4,52.2,Eric Bledsoe
2015-16,26.0,PHO,NBA,PG,31.0,1059.0,0.453,0.452,0.482,0.491,0.372,0.354,0.502,0.502,0.802,0.757,0.557,0.541,0.35,0.276,0.262,0.285,100.0,98.0,105.0,100.0,106.0,103.0,127.0,92.0,-0.4,17.5,Eric Bledsoe
2016-17,27.0,PHO,NBA,PG,66.0,2176.0,0.434,0.457,0.477,0.503,0.335,0.358,0.485,0.514,0.847,0.772,0.563,0.552,0.443,0.271,0.3,0.316,95.0,95.0,94.0,94.0,110.0,102.0,164.0,95.0,-60.3,25.1,Eric Bledsoe
2017-18,28.0,TOT,NBA,PG,74.0,2322.0,0.473,0.46,0.545,0.51,0.347,0.362,0.536,0.521,0.795,0.767,0.582,0.556,0.321,0.252,0.364,0.337,103.0,107.0,96.0,103.0,104.0,105.0,127.0,108.0,30.1,57.8,Eric Bledsoe
2017-18,28.0,PHO,NBA,PG,3.0,83.0,0.4,0.46,0.444,0.51,0.308,0.362,0.45,0.521,0.786,0.767,0.509,0.556,0.35,0.252,0.325,0.337,87.0,87.0,85.0,86.0,102.0,92.0,139.0,96.0,-5.7,-4.3,Eric Bledsoe
2017-18,28.0,MIL,NBA,PG,71.0,2239.0,0.476,0.46,0.55,0.51,0.349,0.362,0.54,0.521,0.795,0.767,0.585,0.556,0.319,0.252,0.366,0.337,103.0,108.0,96.0,104.0,104.0,105.0,127.0,109.0,35.8,62.1,Eric Bledsoe
2018-19,29.0,MIL,NBA,PG,78.0,2272.0,0.484,0.461,0.582,0.52,0.329,0.355,0.548,0.524,0.75,0.766,0.577,0.56,0.243,0.259,0.388,0.359,105.0,112.0,93.0,105.0,98.0,103.0,94.0,108.0,46.0,38.0,Eric Bledsoe
2019-20,30.0,MIL,NBA,PG,61.0,1646.0,0.475,0.46,0.533,0.524,0.344,0.358,0.528,0.529,0.79,0.773,0.571,0.565,0.304,0.26,0.306,0.384,103.0,102.0,96.0,100.0,102.0,101.0,117.0,80.0,-1.5,10.7,Eric Bledsoe
2020-21,31.0,NOP,NBA,SG,71.0,2111.0,0.421,0.466,0.496,0.53,0.341,0.367,0.503,0.538,0.687,0.778,0.533,0.572,0.267,0.247,0.486,0.392,90.0,94.0,93.0,94.0,88.0,93.0,108.0,124.0,-50.4,-63.9,Eric Bledsoe
2021-22,32.0,LAC,NBA,PG,54.0,1361.0,0.421,0.461,0.479,0.533,0.313,0.354,0.475,0.532,0.761,0.775,0.514,0.566,0.25,0.248,0.348,0.399,91.0,90.0,88.0,89.0,98.0,91.0,101.0,87.0,-52.7,-54.0,Eric Bledsoe
2013-14,27.0,PHO,NBA,SF,31.0,198.0,0.355,0.454,0.419,0.488,0.29,0.36,0.427,0.501,0.75,0.756,0.489,0.541,0.387,0.284,0.5,0.259,78.0,86.0,81.0,85.0,99.0,90.0,136.0,193.0,-9.1,-7.5,Dionte Christmas
