SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2003-04,27.0,TOT,NBA,SG,10.0,0.0,110.0,5.3,16.9,0.314,1.9,5.3,0.364,3.4,11.6,0.292,7.7,9.6,0.8,1.0,4.3,5.3,1.9,0.0,0.0,4.3,4.8,20.2,90.0,109.0,Maurice Carter
2003-04,27.0,LAL,NBA,SG,4.0,0.0,50.0,5.2,14.6,0.357,1.0,3.1,0.333,4.2,11.4,0.364,11.4,12.5,0.917,0.0,3.1,3.1,2.1,0.0,0.0,6.2,5.2,22.9,94.0,109.0,Maurice Carter
2003-04,27.0,NOH,NBA,SG,6.0,0.0,60.0,5.4,18.9,0.286,2.7,7.2,0.375,2.7,11.7,0.231,4.5,7.2,0.625,1.8,5.4,7.2,1.8,0.0,0.0,2.7,4.5,18.0,86.0,108.0,Maurice Carter
2003-04,23.0,LAL,NBA,C,35.0,2.0,442.0,7.9,16.6,0.475,0.0,0.6,0.0,7.9,16.0,0.493,2.5,3.3,0.75,3.6,8.2,11.9,2.4,1.9,1.9,2.0,7.5,18.2,104.0,99.0,Brian Cook
2004-05,24.0,LAL,NBA,C,72.0,0.0,1087.0,8.6,20.5,0.417,3.8,9.7,0.392,4.8,10.8,0.439,1.4,1.8,0.757,3.1,7.4,10.5,1.7,1.1,1.3,1.4,6.8,22.3,111.0,111.0,Brian Cook
2005-06,25.0,LAL,NBA,PF,81.0,46.0,1535.0,9.0,17.6,0.511,1.2,2.9,0.429,7.7,14.7,0.527,2.9,3.5,0.832,3.0,6.4,9.4,2.5,1.3,1.1,2.1,7.1,22.1,116.0,106.0,Brian Cook
2006-07,26.0,LAL,NBA,PF,65.0,24.0,1018.0,9.3,20.6,0.453,2.3,5.8,0.4,7.0,14.8,0.474,1.7,2.4,0.723,3.1,7.8,10.8,3.3,1.3,1.4,2.6,6.8,22.7,105.0,108.0,Brian Cook
2007-08,27.0,TOT,NBA,PF,51.0,2.0,629.0,7.2,19.1,0.376,3.5,9.4,0.374,3.7,9.7,0.378,1.5,1.7,0.905,2.3,6.6,8.9,2.2,1.1,1.0,3.2,7.6,19.4,94.0,106.0,Brian Cook
2007-08,27.0,LAL,NBA,PF,6.0,2.0,70.0,2.9,15.1,0.19,1.4,7.2,0.2,1.4,7.9,0.182,2.9,2.9,1.0,2.9,4.3,7.2,2.2,1.4,0.0,2.9,4.3,10.0,72.0,109.0,Brian Cook
2007-08,27.0,ORL,NBA,PF,45.0,0.0,559.0,7.7,19.6,0.394,3.8,9.7,0.39,4.0,9.9,0.398,1.4,1.6,0.882,2.2,6.9,9.1,2.2,1.0,1.1,3.2,8.0,20.6,96.0,106.0,Brian Cook
2008-09,28.0,TOT,NBA,PF,30.0,0.0,171.0,8.5,23.2,0.368,4.0,9.2,0.433,4.6,14.0,0.326,1.5,1.8,0.833,2.1,7.6,9.8,1.5,0.9,0.9,4.0,7.9,22.6,88.0,103.0,Brian Cook
2008-09,28.0,ORL,NBA,PF,21.0,0.0,146.0,8.2,21.4,0.383,3.9,8.9,0.44,4.3,12.5,0.343,1.8,2.1,0.833,2.1,7.5,9.6,1.4,1.1,0.0,3.9,8.2,22.1,91.0,104.0,Brian Cook
2008-09,28.0,HOU,NBA,PF,9.0,0.0,25.0,10.6,34.1,0.313,4.3,10.6,0.4,6.4,23.4,0.273,0.0,0.0,0.0,2.1,8.5,10.6,2.1,0.0,6.4,4.3,6.4,25.5,75.0,100.0,Brian Cook
2009-10,29.0,HOU,NBA,PF,15.0,0.0,44.0,8.1,26.7,0.304,2.3,10.4,0.222,5.8,16.2,0.357,5.8,8.1,0.714,1.2,9.3,10.4,1.2,0.0,2.3,7.0,5.8,24.4,72.0,108.0,Brian Cook
2010-11,30.0,LAC,NBA,PF,40.0,0.0,447.0,8.3,19.7,0.424,3.9,9.1,0.43,4.4,10.5,0.418,1.7,2.8,0.625,2.2,8.9,11.1,1.7,1.4,1.3,2.9,8.7,22.3,101.0,107.0,Brian Cook
2011-12,31.0,TOT,NBA,PF,32.0,0.0,276.0,5.9,18.7,0.316,1.9,9.5,0.2,4.0,9.2,0.438,1.7,1.9,0.9,1.9,10.1,12.0,1.9,1.1,1.0,2.1,9.2,15.5,85.0,105.0,Brian Cook
2011-12,31.0,LAC,NBA,PF,16.0,0.0,121.0,4.9,21.8,0.224,2.2,12.0,0.185,2.7,9.8,0.273,1.8,1.8,1.0,1.8,8.5,10.2,0.9,0.9,1.8,1.8,11.6,13.8,71.0,105.0,Brian Cook
2011-12,31.0,WAS,NBA,PF,16.0,0.0,155.0,6.7,16.4,0.408,1.7,7.7,0.217,5.0,8.7,0.577,1.7,2.0,0.833,2.0,11.4,13.4,2.7,1.3,0.3,2.3,7.4,16.7,98.0,105.0,Brian Cook
2003-04,26.0,LAL,NBA,SF,4.0,0.0,28.0,5.6,16.7,0.333,0.0,1.9,0.0,5.6,14.9,0.375,3.7,7.4,0.5,1.9,7.4,9.3,3.7,3.7,1.9,5.6,5.6,14.9,70.0,96.0,Ime Udoka
