DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-04-13,23-101,PHI,HOME,BRK,L (-9),0,5:07,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,1.7,+2,Jonah Bolden
2019-04-15,23-103,PHI,HOME,BRK,W (+22),0,14:51,0,2,.000,0,2,.000,1,2,.500,0,3,3,0,0,0,1,2,1,-1.7,-6,Jonah Bolden
2019-04-18,23-106,PHI,AWAY,BRK,W (+16),0,1:53,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,0,Jonah Bolden
2019-04-20,23-108,PHI,AWAY,BRK,W (+4),0,3:29,0,1,.000,0,1,.000,1,2,.500,1,1,2,0,0,0,1,1,1,-0.5,-6,Jonah Bolden
2019-04-23,23-111,PHI,HOME,BRK,W (+22),0,13:49,2,4,.500,2,4,.500,0,0,,0,1,1,0,0,1,2,4,6,1.4,-4,Jonah Bolden
2019-04-27,23-115,PHI,AWAY,TOR,L (-13),0,13:07,1,6,.167,1,4,.250,0,0,,1,2,3,1,1,0,2,1,3,-0.2,+8,Jonah Bolden
2019-04-29,23-117,PHI,AWAY,TOR,W (+5),0,9:16,1,3,.333,1,3,.333,0,0,,1,1,2,0,1,0,0,1,3,2.9,+3,Jonah Bolden
2019-05-02,23-120,PHI,HOME,TOR,W (+21),0,5:01,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,-3,Jonah Bolden
2019-05-07,23-125,PHI,AWAY,TOR,L (-36),0,8:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-8,Jonah Bolden
2019-05-09,23-127,PHI,HOME,TOR,W (+11),0,3:33,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,-8,Jonah Bolden
