DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-05-22,22-173,BOS,AWAY,BRK,L (-11),0,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Grant Williams
2021-05-25,22-176,BOS,AWAY,BRK,L (-22),0,12:00,2,4,0.5,1,1,1.0,0,0,,0,2,2,1,0,0,0,0,5,4.3,5,Grant Williams
2021-05-28,22-179,BOS,HOME,BRK,W (+6),0,11:16,2,2,1.0,0,0,,0,0,,0,3,3,0,0,1,0,3,4,3.8,15,Grant Williams
2021-05-30,22-181,BOS,HOME,BRK,L (-15),0,20:49,1,3,0.333,1,2,0.5,2,2,1.0,2,0,2,2,0,1,0,1,5,6.4,-11,Grant Williams
2021-06-01,22-183,BOS,AWAY,BRK,L (-14),0,12:10,1,3,0.333,0,1,0.0,1,1,1.0,1,2,3,1,1,2,1,3,3,3.5,-4,Grant Williams
2022-04-17,23-138,BOS,HOME,BRK,W (+1),0,21:02,3,7,.429,0,4,.000,1,2,.500,0,2,2,1,0,1,0,3,7,3.7,-17,Grant Williams
2022-04-20,23-141,BOS,HOME,BRK,W (+7),0,32:00,4,4,1.000,3,3,1.000,6,6,1.000,4,2,6,0,0,2,0,3,17,19.4,+9,Grant Williams
2022-04-23,23-144,BOS,AWAY,BRK,W (+6),0,32:29,3,7,.429,1,3,.333,0,0,,3,2,5,1,1,0,1,3,7,5.5,+2,Grant Williams
2022-04-25,23-146,BOS,AWAY,BRK,W (+4),0,33:14,5,8,.625,4,6,.667,0,0,,0,3,3,1,0,3,1,3,14,11.9,+1,Grant Williams
2022-05-01,23-152,BOS,HOME,MIL,L (-12),0,28:49,2,6,.333,2,4,.500,2,2,1.000,1,3,4,0,0,1,0,2,8,6.1,-15,Grant Williams
2022-05-03,23-154,BOS,HOME,MIL,W (+23),0,35:24,7,14,.500,6,9,.667,1,2,.500,1,4,5,2,0,0,0,2,21,16.1,+22,Grant Williams
2022-05-07,23-158,BOS,AWAY,MIL,L (-2),0,33:47,2,9,.222,1,6,.167,4,4,1.000,2,4,6,2,0,3,1,5,9,6.6,+8,Grant Williams
2022-05-09,23-160,BOS,AWAY,MIL,W (+8),1,24:46,3,9,.333,1,5,.200,2,2,1.000,0,4,4,0,0,0,2,4,9,1.5,-17,Grant Williams
2022-05-11,23-162,BOS,HOME,MIL,L (-3),1,30:37,0,3,.000,0,2,.000,0,0,,1,1,2,1,0,0,2,4,0,-4.0,-11,Grant Williams
2022-05-13,23-164,BOS,AWAY,MIL,W (+13),1,28:03,0,3,.000,0,1,.000,2,5,.400,0,5,5,1,2,0,1,5,2,-0.1,+9,Grant Williams
2022-05-15,23-166,BOS,HOME,MIL,W (+28),1,39:20,10,22,.455,7,18,.389,0,0,,1,5,6,0,0,2,1,5,27,16.2,+25,Grant Williams
2022-05-17,23-168,BOS,AWAY,MIA,L (-11),1,34:30,2,5,.400,1,2,.500,2,2,1.000,0,1,1,2,1,0,2,5,7,3.0,-14,Grant Williams
2022-05-19,23-170,BOS,AWAY,MIA,W (+25),0,32:12,5,7,.714,2,2,1.000,7,8,.875,1,3,4,0,1,0,0,5,19,16.3,+37,Grant Williams
2022-05-21,23-172,BOS,HOME,MIA,L (-6),0,39:01,2,6,.333,2,4,.500,4,4,1.000,1,4,5,0,1,1,1,6,10,6.8,+8,Grant Williams
2022-05-23,23-174,BOS,HOME,MIA,W (+20),0,36:31,1,8,.125,1,5,.200,4,4,1.000,2,3,5,2,0,0,1,2,7,3.7,-1,Grant Williams
2022-05-25,23-176,BOS,AWAY,MIA,W (+13),0,23:02,2,5,.400,1,4,.250,0,0,,0,6,6,0,0,0,1,4,5,1.5,+9,Grant Williams
2022-05-27,23-178,BOS,HOME,MIA,L (-8),0,17:21,0,2,.000,0,0,,2,2,1.000,0,2,2,0,1,0,0,5,2,0.2,+4,Grant Williams
2022-05-29,23-180,BOS,AWAY,MIA,W (+4),0,29:55,5,8,.625,0,1,.000,1,3,.333,3,3,6,0,0,1,2,3,11,7.1,-1,Grant Williams
2022-06-02,23-184,BOS,AWAY,GSW,W (+12),0,16:17,0,2,.000,0,1,.000,0,0,,0,3,3,3,0,0,0,1,0,1.2,-6,Grant Williams
2022-06-05,23-187,BOS,AWAY,GSW,L (-19),0,20:54,2,2,1.000,1,1,1.000,1,2,.500,0,1,1,1,0,1,0,3,6,5.5,-13,Grant Williams
2022-06-08,23-190,BOS,HOME,GSW,W (+16),0,20:09,4,7,.571,1,4,.250,1,2,.500,3,2,5,0,1,0,1,2,10,8.2,+10,Grant Williams
2022-06-10,23-192,BOS,HOME,GSW,L (-10),0,12:32,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,4,3,0.7,-10,Grant Williams
2022-06-13,23-195,BOS,AWAY,GSW,L (-10),0,16:04,1,2,.500,0,1,.000,1,1,1.000,0,3,3,1,0,2,2,3,3,1.8,-18,Grant Williams
2022-06-16,23-198,BOS,HOME,GSW,L (-13),0,15:51,1,2,.500,0,1,.000,1,1,1.000,0,1,1,1,0,1,1,1,3,2.3,-18,Grant Williams
2023-04-21,24-142,BOS,AWAY,ATL,L (-8),0,17:42,4,4,1.000,4,4,1.000,2,2,1.000,1,1,2,2,1,0,0,2,14,15.4,-3,Grant Williams
2023-04-23,24-144,BOS,AWAY,ATL,W (+8),0,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,Grant Williams
2023-04-27,24-148,BOS,AWAY,ATL,W (+8),0,17:22,1,4,.250,1,2,.500,0,0,,1,1,2,1,1,0,1,1,3,1.9,+1,Grant Williams
2023-05-01,24-152,BOS,HOME,PHI,L (-4),0,4:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,Grant Williams
2023-05-03,24-154,BOS,HOME,PHI,W (+34),0,28:57,4,8,.500,4,8,.500,0,0,,1,3,4,4,1,0,0,2,12,12.6,+22,Grant Williams
2023-05-05,24-156,BOS,AWAY,PHI,W (+12),0,23:04,0,3,.000,0,3,.000,0,0,,0,4,4,1,0,2,0,3,0,0.0,+1,Grant Williams
