DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2015-11-03,24-331,CHI,AWAY,CHO,L (-25),0,5:41,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0.9,+5,Cameron Bairstow
2015-11-09,24-337,CHI,AWAY,PHI,W (+23),0,4:10,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,2,0,-1.2,0,Cameron Bairstow
2015-12-14,25-007,CHI,HOME,PHI,W (+19),0,3:05,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-2,Cameron Bairstow
2015-12-19,25-012,CHI,AWAY,NYK,L (-16),0,5:31,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,0,1,2,1.2,+2,Cameron Bairstow
2015-12-26,25-019,CHI,AWAY,DAL,L (-7),0,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,Cameron Bairstow
2016-01-01,25-025,CHI,HOME,NYK,W (+27),0,2:11,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-0.4,+3,Cameron Bairstow
2016-01-09,25-033,CHI,AWAY,ATL,L (-15),0,3:05,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,3.0,+2,Cameron Bairstow
2016-01-11,25-035,CHI,HOME,WAS,L (-14),0,4:36,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,+4,Cameron Bairstow
2016-01-20,25-044,CHI,HOME,GSW,L (-31),0,3:53,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,1,1,0,-0.4,-7,Cameron Bairstow
2016-01-28,25-052,CHI,AWAY,LAL,W (+23),0,4:29,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,2,2,1.2,+3,Cameron Bairstow
2016-01-31,25-055,CHI,AWAY,LAC,L (-27),0,3:49,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-11,Cameron Bairstow
2016-02-05,25-060,CHI,AWAY,DEN,L (-5),1,10:25,1,4,.250,0,1,.000,2,2,1.000,0,4,4,1,0,0,0,5,4,1.5,+5,Cameron Bairstow
2016-02-08,25-063,CHI,AWAY,CHO,L (-17),0,18:33,2,8,.250,0,1,.000,2,2,1.000,0,2,2,2,0,2,0,2,6,3.8,+3,Cameron Bairstow
2016-02-10,25-065,CHI,HOME,ATL,L (-23),0,14:13,0,4,.000,0,0,,0,0,,0,3,3,1,1,0,0,1,0,-0.6,-13,Cameron Bairstow
2016-02-18,25-073,CHI,AWAY,CLE,L (-11),0,3:30,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,2,0.3,+4,Cameron Bairstow
2016-02-26,25-081,CHI,AWAY,ATL,L (-15),0,2:29,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,1,3,2.0,+2,Cameron Bairstow
2016-03-01,25-085,CHI,AWAY,MIA,L (-18),0,1:15,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,0.9,+2,Cameron Bairstow
2016-03-02,25-086,CHI,AWAY,ORL,L (-13),1,10:08,4,5,.800,0,0,,0,0,,0,2,2,0,0,0,0,2,8,5.9,-4,Cameron Bairstow
2016-03-19,25-103,CHI,HOME,UTA,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Cameron Bairstow
2014-10-29,23-326,CHI,AWAY,NYK,W (+24),0,3:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-7,Cameron Bairstow
2014-11-20,23-348,CHI,AWAY,SAC,L (-15),0,5:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Cameron Bairstow
2014-11-21,23-349,CHI,AWAY,POR,L (-18),0,2:00,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1,0.9,0,Cameron Bairstow
2014-11-25,23-353,CHI,AWAY,DEN,L (-5),1,18:46,1,4,.250,0,0,,0,0,,2,0,2,1,0,1,2,4,2,-1.2,-13,Cameron Bairstow
