DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2007-11-02,21-050,NJN,HOME,TOR,L (-37),0,20:35,2,3,.667,0,0,,0,0,,2,2,4,0,0,4,2,0,4,5.5,-14,Sean Williams
2007-11-08,21-056,NJN,HOME,WAS,W (+2),0,2:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,-6,Sean Williams
2007-11-10,21-058,NJN,HOME,BOS,L (-11),0,11:02,4,5,.800,0,0,,2,2,1.000,1,3,4,0,0,0,0,3,10,8.5,+15,Sean Williams
2007-11-12,21-060,NJN,HOME,NOH,L (-2),0,19:26,1,3,.333,0,0,,4,6,.667,2,6,8,0,1,4,1,1,6,9.1,-3,Sean Williams
2007-11-14,21-062,NJN,AWAY,BOS,L (-22),0,28:50,5,8,.625,0,0,,4,8,.500,4,3,7,0,1,4,2,2,14,13.5,-8,Sean Williams
2007-11-16,21-064,NJN,HOME,ORL,L (-25),0,17:41,3,4,.750,0,0,,3,3,1.000,1,2,3,0,0,3,3,4,9,6.2,-3,Sean Williams
2007-11-17,21-065,NJN,HOME,MIA,L (-4),1,35:47,7,11,.636,0,0,,8,10,.800,3,5,8,0,2,2,3,3,22,19.1,+10,Sean Williams
2007-11-19,21-067,NJN,AWAY,UTA,L (-27),1,29:16,3,6,.500,0,0,,4,6,.667,2,2,4,1,1,3,5,3,10,5.8,-27,Sean Williams
2007-11-21,21-069,NJN,AWAY,POR,W (+5),0,13:11,1,2,.500,0,0,,1,2,.500,1,2,3,0,0,0,1,4,3,0.3,-9,Sean Williams
2007-11-23,21-071,NJN,AWAY,SEA,W (+5),0,10:45,3,5,.600,0,0,,1,3,.333,1,1,2,0,0,1,0,0,7,5.6,-5,Sean Williams
2007-11-25,21-073,NJN,AWAY,LAL,W (+2),0,30:08,3,6,.500,0,0,,0,0,,4,3,7,0,3,3,1,3,6,9.6,+18,Sean Williams
2007-11-27,21-075,NJN,HOME,MEM,L (-7),0,14:03,2,2,1.000,0,0,,3,5,.600,2,3,5,0,0,2,2,4,7,5.7,-10,Sean Williams
2007-12-01,21-079,NJN,HOME,PHI,W (+2),0,32:19,2,5,.400,0,0,,0,0,,1,4,5,1,0,4,0,5,4,4.7,+1,Sean Williams
2007-12-02,21-080,NJN,AWAY,DET,L (-23),0,19:11,1,4,.250,0,0,,4,4,1.000,3,5,8,3,1,0,3,3,6,6.1,-19,Sean Williams
2007-12-04,21-082,NJN,AWAY,CLE,W (+21),0,14:29,0,3,.000,0,0,,0,2,.000,4,4,8,0,0,1,0,0,0,1.8,-4,Sean Williams
2007-12-05,21-083,NJN,HOME,NYK,L (-7),0,6:07,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,5,2,0.7,-7,Sean Williams
2007-12-07,21-085,NJN,HOME,HOU,L (-7),0,11:33,1,2,.500,0,0,,0,0,,1,2,3,0,0,2,1,2,2,1.9,-8,Sean Williams
2007-12-14,21-092,NJN,HOME,CLE,W (+8),0,22:07,4,6,.667,0,0,,1,1,1.000,0,4,4,1,0,1,0,2,9,8.2,+12,Sean Williams
2007-12-15,21-093,NJN,AWAY,NYK,L (-8),0,17:59,4,7,.571,0,0,,0,0,,0,5,5,1,1,2,1,3,8,7.1,0,Sean Williams
