SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2018-19,21.0,DAL,NBA,PF,2.0,11.0,0.0,0.461,0.0,0.52,0.0,0.355,0.0,0.524,0.5,0.766,0.21,0.56,1.333,0.259,0.0,0.359,0.0,0.0,0.0,0.0,65.0,38.0,516.0,0.0,-3.1,-3.3,Kostas Antetokounmpo
2019-20,22.0,LAL,NBA,PF,5.0,20.0,1.0,0.46,1.0,0.524,0.0,0.358,1.0,0.529,0.5,0.773,0.902,0.565,0.667,0.26,0.0,0.384,217.0,191.0,0.0,189.0,65.0,160.0,256.0,0.0,2.8,2.6,Kostas Antetokounmpo
2020-21,23.0,LAL,NBA,PF,15.0,56.0,0.3,0.466,0.3,0.53,0.0,0.367,0.3,0.538,0.462,0.778,0.382,0.572,1.3,0.247,0.0,0.392,64.0,57.0,0.0,56.0,59.0,67.0,527.0,0.0,-4.8,-6.0,Kostas Antetokounmpo
2010-11,20.0,BOS,NBA,PG,31.0,162.0,0.343,0.459,0.371,0.487,0.0,0.358,0.343,0.498,0.5,0.763,0.36,0.541,0.179,0.3,0.075,0.222,75.0,76.0,0.0,69.0,65.0,66.0,60.0,34.0,-20.8,-26.3,Avery Bradley
2011-12,21.0,BOS,NBA,PG,64.0,1368.0,0.498,0.448,0.511,0.477,0.407,0.349,0.525,0.487,0.795,0.752,0.555,0.527,0.194,0.276,0.134,0.226,111.0,107.0,117.0,108.0,106.0,105.0,70.0,60.0,30.2,24.0,Avery Bradley
2012-13,22.0,BOS,NBA,PG,50.0,1435.0,0.402,0.453,0.432,0.483,0.317,0.359,0.444,0.496,0.755,0.753,0.461,0.535,0.103,0.27,0.264,0.243,89.0,89.0,88.0,89.0,100.0,86.0,38.0,108.0,-50.6,-73.1,Avery Bradley
2013-14,23.0,BOS,NBA,SG,60.0,1855.0,0.438,0.454,0.451,0.488,0.395,0.36,0.485,0.501,0.804,0.756,0.51,0.541,0.136,0.284,0.242,0.259,96.0,93.0,110.0,97.0,106.0,94.0,48.0,93.0,-25.8,-54.7,Avery Bradley
2014-15,24.0,BOS,NBA,SG,77.0,2428.0,0.429,0.449,0.47,0.485,0.352,0.35,0.49,0.496,0.79,0.75,0.507,0.534,0.099,0.273,0.348,0.268,96.0,97.0,101.0,99.0,105.0,95.0,36.0,130.0,-11.7,-57.2,Avery Bradley
2015-16,25.0,BOS,NBA,SG,76.0,2536.0,0.447,0.452,0.505,0.491,0.361,0.354,0.52,0.502,0.78,0.757,0.538,0.541,0.121,0.276,0.399,0.285,99.0,103.0,102.0,103.0,103.0,99.0,44.0,140.0,34.9,-6.6,Avery Bradley
2016-17,26.0,BOS,NBA,SG,55.0,1835.0,0.463,0.457,0.504,0.503,0.39,0.358,0.533,0.514,0.731,0.772,0.548,0.552,0.12,0.271,0.357,0.316,101.0,100.0,109.0,104.0,95.0,99.0,44.0,113.0,29.8,-7.4,Avery Bradley
2017-18,27.0,TOT,NBA,SG,46.0,1433.0,0.414,0.46,0.436,0.51,0.369,0.362,0.474,0.521,0.768,0.767,0.496,0.556,0.131,0.252,0.325,0.337,90.0,85.0,102.0,91.0,100.0,89.0,52.0,96.0,-58.5,-79.3,Avery Bradley
2017-18,27.0,DET,NBA,SG,40.0,1268.0,0.409,0.46,0.423,0.51,0.381,0.362,0.474,0.521,0.763,0.767,0.497,0.556,0.14,0.252,0.34,0.337,89.0,83.0,105.0,91.0,99.0,89.0,56.0,101.0,-54.1,-72.2,Avery Bradley
2017-18,27.0,LAC,NBA,SG,6.0,165.0,0.473,0.46,0.543,0.51,0.111,0.362,0.482,0.521,1.0,0.767,0.492,0.556,0.036,0.252,0.164,0.337,103.0,107.0,31.0,92.0,130.0,88.0,14.0,49.0,-4.3,-7.2,Avery Bradley
2018-19,28.0,TOT,NBA,SG,63.0,1905.0,0.408,0.461,0.446,0.52,0.351,0.355,0.479,0.524,0.86,0.766,0.496,0.56,0.082,0.259,0.403,0.359,89.0,86.0,99.0,91.0,112.0,89.0,32.0,112.0,-55.4,-80.1,Avery Bradley
2018-19,28.0,LAC,NBA,SG,49.0,1463.0,0.383,0.461,0.415,0.52,0.337,0.355,0.452,0.524,0.8,0.766,0.464,0.56,0.06,0.259,0.41,0.359,83.0,80.0,95.0,86.0,104.0,83.0,23.0,114.0,-60.3,-82.4,Avery Bradley
2018-19,28.0,MEM,NBA,SG,14.0,442.0,0.463,0.461,0.513,0.52,0.384,0.355,0.537,0.524,0.92,0.766,0.565,0.56,0.133,0.259,0.388,0.359,100.0,99.0,108.0,102.0,120.0,101.0,51.0,108.0,4.9,2.3,Avery Bradley
2019-20,29.0,LAL,NBA,SG,49.0,1186.0,0.444,0.46,0.51,0.524,0.364,0.358,0.526,0.529,0.833,0.773,0.537,0.565,0.063,0.26,0.452,0.384,96.0,97.0,102.0,99.0,108.0,95.0,24.0,118.0,-2.1,-21.5,Avery Bradley
2020-21,30.0,TOT,NBA,SG,27.0,602.0,0.374,0.466,0.443,0.53,0.327,0.367,0.471,0.538,0.8,0.778,0.487,0.572,0.088,0.247,0.591,0.392,80.0,84.0,89.0,88.0,103.0,85.0,36.0,151.0,-23.0,-30.1,Avery Bradley
2020-21,30.0,MIA,NBA,SG,10.0,211.0,0.47,0.466,0.536,0.53,0.421,0.367,0.591,0.538,0.778,0.778,0.607,0.572,0.136,0.247,0.576,0.392,101.0,101.0,115.0,110.0,100.0,106.0,55.0,147.0,7.0,5.0,Avery Bradley
2020-21,30.0,HOU,NBA,SG,17.0,391.0,0.314,0.466,0.381,0.53,0.27,0.367,0.395,0.538,0.833,0.778,0.409,0.572,0.057,0.247,0.6,0.392,67.0,72.0,74.0,73.0,107.0,71.0,23.0,153.0,-30.0,-35.1,Avery Bradley
