SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2007-08,25.0,MIA,NBA,PF,24.0,1.0,498.0,3.0,6.4,0.467,0.0,0.0,0.0,3.0,6.4,0.467,3.1,5.2,0.592,4.1,5.9,9.9,0.3,1.0,3.3,1.8,5.9,9.1,104.0,109.0,Joel Anthony
2008-09,26.0,MIA,NBA,C,65.0,28.0,1048.0,2.9,6.0,0.483,0.0,0.0,0.0,2.9,6.0,0.483,1.5,2.3,0.652,4.5,5.5,10.0,1.4,1.0,4.7,2.1,7.1,7.3,106.0,106.0,Joel Anthony
2009-10,27.0,MIA,NBA,C,80.0,16.0,1322.0,3.1,6.4,0.478,0.0,0.0,0.0,3.1,6.4,0.478,2.7,3.7,0.717,5.0,5.1,10.1,0.5,0.8,4.4,1.8,6.4,8.8,112.0,103.0,Joel Anthony
2010-11,28.0,MIA,NBA,C,75.0,11.0,1463.0,1.9,3.6,0.535,0.0,0.0,0.0,1.9,3.6,0.535,1.7,2.6,0.644,3.8,5.8,9.6,0.9,0.4,3.4,1.3,7.0,5.5,120.0,104.0,Joel Anthony
2011-12,29.0,MIA,NBA,C,64.0,51.0,1349.0,3.3,5.9,0.559,0.0,0.0,0.0,3.3,5.9,0.559,1.9,2.8,0.69,3.9,5.9,9.8,0.4,1.4,3.3,1.8,4.9,8.5,113.0,100.0,Joel Anthony
2012-13,30.0,MIA,NBA,C,62.0,3.0,566.0,3.3,6.4,0.515,0.0,0.0,0.0,3.3,6.4,0.515,1.6,2.6,0.607,4.2,6.5,10.8,1.2,1.2,3.9,2.1,4.6,8.1,108.0,103.0,Joel Anthony
2013-14,31.0,TOT,NBA,C,33.0,0.0,186.0,3.3,8.9,0.375,0.0,0.0,0.0,3.3,8.9,0.375,1.1,2.2,0.5,4.2,6.4,10.6,0.6,0.8,3.3,0.8,4.7,7.8,96.0,107.0,Joel Anthony
2013-14,31.0,MIA,NBA,C,12.0,0.0,37.0,2.8,8.5,0.333,0.0,0.0,0.0,2.8,8.5,0.333,2.8,2.8,1.0,2.8,7.1,10.0,0.0,0.0,5.7,1.4,5.7,8.5,94.0,104.0,Joel Anthony
2013-14,31.0,BOS,NBA,C,21.0,0.0,149.0,3.5,9.0,0.385,0.0,0.0,0.0,3.5,9.0,0.385,0.7,2.1,0.333,4.5,6.2,10.7,0.7,1.0,2.8,0.7,4.5,7.6,96.0,107.0,Joel Anthony
2014-15,32.0,DET,NBA,C,49.0,0.0,406.0,4.6,7.9,0.581,0.0,0.0,0.0,4.6,7.9,0.581,1.9,2.8,0.682,4.1,7.8,11.8,0.6,1.5,6.2,1.5,7.0,11.1,119.0,100.0,Joel Anthony
2015-16,33.0,DET,NBA,C,19.0,0.0,96.0,3.2,5.3,0.6,0.0,0.0,0.0,3.2,5.3,0.6,3.2,4.2,0.75,4.2,6.8,11.0,0.5,1.1,6.3,1.1,7.9,9.5,136.0,99.0,Joel Anthony
2016-17,34.0,SAS,NBA,C,19.0,0.0,122.0,4.2,6.7,0.625,0.0,0.0,0.0,4.2,6.7,0.625,2.1,3.3,0.625,3.3,9.6,12.9,1.3,0.8,2.5,1.7,4.6,10.4,121.0,102.0,Joel Anthony
2008-09,22.0,MIA,NBA,PG,82.0,82.0,2626.0,5.7,13.5,0.42,2.3,6.3,0.367,3.3,7.1,0.467,3.0,3.9,0.767,0.8,3.9,4.6,8.2,3.3,0.2,3.4,4.9,16.6,107.0,107.0,Mario Chalmers
