# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
21.0,1.0,0.251,0.189,0.133,0.672,0.098,0.328,0.171,0.025,0.474,0.413,0.438,0.388,0.448,0.461,0.778,0.393,0.49,21.0,3.0,15.2,0.43,82.0,NBA,2532.0,SG,1996-97,MIL,Ray Allen
35.0,1.0,0.185,0.213,0.223,0.72,0.1,0.28,0.155,0.03,0.617,0.407,0.437,0.385,0.453,0.282,0.761,0.364,0.386,22.0,14.0,15.8,0.428,82.0,NBA,3287.0,SG,1997-98,MIL,Ray Allen
31.0,0.0,0.223,0.178,0.181,0.691,0.108,0.309,0.274,0.048,0.653,0.4,0.393,0.419,0.492,0.479,0.851,0.356,0.456,23.0,2.0,15.2,0.45,50.0,NBA,1719.0,SG,1998-99,MIL,Ray Allen
54.0,0.0,0.195,0.223,0.166,0.712,0.128,0.288,0.273,0.043,0.596,0.417,0.427,0.421,0.468,0.414,0.855,0.423,0.459,24.0,12.0,15.1,0.455,82.0,NBA,3070.0,SG,1999-00,MIL,Ray Allen
31.0,0.0,0.235,0.183,0.14,0.643,0.086,0.357,0.27,0.027,0.659,0.418,0.41,0.437,0.506,0.429,0.856,0.433,0.5,25.0,1.0,14.7,0.48,82.0,NBA,3129.0,SG,2000-01,MIL,Ray Allen
27.0,0.0,0.167,0.176,0.108,0.54,0.089,0.46,0.25,0.028,0.547,0.455,0.46,0.449,0.485,0.461,0.769,0.434,0.447,26.0,8.0,16.9,0.462,69.0,NBA,2525.0,SG,2001-02,MIL,Ray Allen
25.0,0.0,0.165,0.185,0.132,0.609,0.127,0.391,0.242,0.02,0.613,0.492,0.394,0.327,0.478,0.37,0.796,0.377,0.364,27.0,4.0,15.7,0.439,76.0,NBA,2880.0,SG,2002-03,TOT,Ray Allen
14.0,0.0,0.161,0.202,0.127,0.613,0.123,0.387,0.228,0.017,0.612,0.475,0.412,0.412,0.463,0.303,0.805,0.395,0.31,27.0,3.0,15.8,0.437,47.0,NBA,1683.0,SG,2002-03,MIL,Ray Allen
11.0,0.0,0.171,0.161,0.139,0.604,0.132,0.396,0.261,0.023,0.615,0.522,0.372,0.213,0.5,0.459,0.782,0.351,0.431,27.0,1.0,15.5,0.441,29.0,NBA,1197.0,SG,2002-03,SEA,Ray Allen
20.0,0.0,0.181,0.146,0.164,0.628,0.138,0.372,0.225,0.021,0.701,0.378,0.407,0.371,0.468,0.329,0.797,0.392,0.447,28.0,3.0,15.3,0.44,56.0,NBA,2152.0,SG,2003-04,SEA,Ray Allen
27.0,0.0,0.185,0.138,0.201,0.628,0.103,0.372,0.185,0.021,0.606,0.398,0.415,0.311,0.459,0.364,0.804,0.376,0.369,29.0,5.0,15.8,0.428,78.0,NBA,3064.0,SG,2004-05,SEA,Ray Allen
16.0,0.0,0.145,0.123,0.197,0.565,0.1,0.435,0.17,0.011,0.628,0.451,0.447,0.337,0.486,0.4,0.751,0.412,0.432,30.0,4.0,17.2,0.454,78.0,NBA,3022.0,SG,2005-06,SEA,Ray Allen
9.0,0.0,0.181,0.129,0.215,0.616,0.09,0.384,0.181,0.008,0.608,0.477,0.419,0.306,0.479,0.365,0.806,0.372,0.363,31.0,3.0,16.2,0.438,55.0,NBA,2219.0,SG,2006-07,SEA,Ray Allen
9.0,0.0,0.2,0.092,0.169,0.542,0.08,0.458,0.263,0.009,0.604,0.33,0.503,0.537,0.485,0.329,0.806,0.398,0.403,32.0,3.0,16.7,0.445,73.0,NBA,2624.0,SG,2007-08,BOS,Ray Allen
3.0,0.0,0.188,0.096,0.191,0.533,0.058,0.467,0.379,0.003,0.641,0.52,0.462,0.54,0.542,0.517,0.925,0.409,0.478,33.0,0.0,17.0,0.48,79.0,NBA,2876.0,SG,2008-09,BOS,Ray Allen
10.0,0.0,0.224,0.084,0.196,0.59,0.085,0.41,0.286,0.01,0.679,0.561,0.476,0.643,0.556,0.41,0.917,0.363,0.316,34.0,0.0,15.8,0.477,80.0,NBA,2819.0,SG,2009-10,BOS,Ray Allen
14.0,0.0,0.173,0.121,0.235,0.613,0.085,0.387,0.392,0.015,0.651,0.458,0.47,0.622,0.52,0.482,0.958,0.444,0.514,35.0,0.0,16.3,0.491,80.0,NBA,2890.0,SG,2010-11,BOS,Ray Allen
2.0,0.0,0.148,0.103,0.189,0.525,0.085,0.475,0.368,0.006,0.685,0.373,0.366,0.642,0.463,0.405,0.934,0.453,0.5,36.0,0.0,17.4,0.458,46.0,NBA,1565.0,SG,2011-12,BOS,Ray Allen
3.0,0.0,0.194,0.104,0.109,0.49,0.083,0.51,0.41,0.006,0.587,0.397,0.38,0.497,0.48,0.463,0.95,0.419,0.463,37.0,0.0,16.9,0.449,79.0,NBA,2035.0,SG,2012-13,MIA,Ray Allen
6.0,1.0,0.166,0.087,0.118,0.431,0.063,0.569,0.411,0.011,0.622,0.511,0.438,0.516,0.53,0.471,0.957,0.375,0.425,38.0,3.0,18.2,0.442,73.0,NBA,1936.0,SG,2013-14,MIA,Ray Allen
56.0,0.0,0.577,0.174,0.055,0.997,0.192,0.003,0.0,0.148,0.617,0.418,0.381,0.683,0.534,0.432,0.0,0.0,0.0,23.0,0.0,7.9,0.532,75.0,NBA,1405.0,PF,1996-97,CHI,Jason Caffey
62.0,0.0,0.412,0.221,0.062,0.996,0.3,0.004,0.0,0.137,0.688,0.379,0.552,0.606,0.487,0.279,0.0,0.0,0.0,24.0,0.0,7.5,0.485,80.0,NBA,1423.0,PF,1997-98,TOT,Jason Caffey
32.0,0.0,0.442,0.226,0.065,0.995,0.261,0.005,0.0,0.166,0.716,0.244,0.692,0.67,0.505,0.327,0.0,0.0,0.0,24.0,0.0,7.6,0.503,51.0,NBA,710.0,PF,1997-98,CHI,Jason Caffey
30.0,0.0,0.39,0.217,0.06,0.996,0.33,0.004,0.0,0.116,0.663,0.483,0.438,0.556,0.474,0.25,0.0,0.0,0.0,24.0,0.0,7.4,0.472,29.0,NBA,713.0,PF,1997-98,GSW,Jason Caffey
29.0,0.0,0.375,0.224,0.043,0.996,0.354,0.004,0.0,0.126,0.663,0.29,0.5,0.642,0.446,0.306,0.0,0.0,0.0,25.0,0.0,7.5,0.444,35.0,NBA,876.0,PF,1998-99,GSW,Jason Caffey
74.0,0.0,0.409,0.167,0.044,0.997,0.376,0.003,0.0,0.123,0.674,0.389,0.333,0.647,0.48,0.327,0.0,0.0,0.0,26.0,1.0,7.0,0.479,71.0,NBA,2159.0,PF,1999-00,GSW,Jason Caffey
27.0,0.0,0.54,0.207,0.022,1.0,0.232,0.0,0.0,0.084,0.571,0.434,0.25,0.665,0.488,0.365,0.0,0.0,0.0,27.0,0.0,4.6,0.488,70.0,NBA,1460.0,PF,2000-01,MIL,Jason Caffey
6.0,0.0,0.417,0.292,0.042,0.986,0.236,0.014,0.0,0.083,0.567,0.619,0.0,0.556,0.507,0.353,0.0,0.0,0.0,28.0,0.0,6.4,0.5,23.0,NBA,283.0,PF,2001-02,MIL,Jason Caffey
30.0,0.0,0.484,0.169,0.089,1.0,0.258,0.0,0.0,0.125,0.592,0.31,0.227,0.611,0.456,0.375,0.0,0.0,0.0,29.0,0.0,5.5,0.456,51.0,NBA,894.0,PF,2002-03,MIL,Jason Caffey
1.0,0.0,0.25,0.189,0.163,0.705,0.102,0.295,0.022,0.001,0.597,0.412,0.438,0.293,0.464,0.275,0.469,0.351,0.4,27.0,1.0,14.5,0.43,61.0,NBA,1714.0,PG,1996-97,TOT,Sam Cassell
0.0,0.0,0.324,0.178,0.091,0.743,0.149,0.257,0.048,0.0,0.628,0.326,0.364,0.383,0.453,0.278,0.368,0.306,0.333,27.0,0.0,13.0,0.415,22.0,NBA,539.0,PG,1996-97,PHO,Sam Cassell
1.0,0.0,0.224,0.139,0.212,0.703,0.127,0.297,0.0,0.006,0.622,0.435,0.457,0.309,0.474,0.286,0.533,0.306,0.0,27.0,0.0,14.2,0.424,16.0,NBA,398.0,PG,1996-97,DAL,Sam Cassell
0.0,0.0,0.215,0.218,0.188,0.682,0.061,0.318,0.017,0.0,0.556,0.451,0.451,0.225,0.467,0.261,0.489,0.392,0.5,27.0,1.0,15.6,0.443,23.0,NBA,777.0,PG,1996-97,NJN,Sam Cassell
2.0,0.0,0.216,0.242,0.376,0.931,0.096,0.069,0.1,0.002,0.58,0.379,0.49,0.331,0.46,0.279,0.6,0.188,0.125,28.0,3.0,13.9,0.441,75.0,NBA,2606.0,PG,1997-98,NJN,Sam Cassell
0.0,0.0,0.194,0.226,0.28,0.892,0.194,0.108,0.0,0.0,0.556,0.476,0.308,0.162,0.446,0.5,0.5,0.2,0.0,29.0,0.0,13.0,0.419,8.0,NBA,199.0,PG,1998-99,TOT,Sam Cassell
0.0,0.0,0.143,0.245,0.224,0.857,0.245,0.143,0.0,0.0,0.857,0.417,0.273,0.15,0.476,0.5,0.0,0.143,0.0,29.0,0.0,12.9,0.429,4.0,NBA,100.0,PG,1998-99,NJN,Sam Cassell
0.0,0.0,0.25,0.205,0.341,0.932,0.136,0.068,0.0,0.0,0.364,0.556,0.333,0.176,0.415,0.5,1.0,0.333,0.0,29.0,0.0,13.0,0.409,4.0,NBA,99.0,PG,1998-99,MIL,Sam Cassell
0.0,0.0,0.158,0.379,0.274,0.923,0.111,0.077,0.189,0.0,0.589,0.459,0.48,0.237,0.481,0.4,0.615,0.289,0.471,30.0,3.0,13.4,0.466,81.0,NBA,2899.0,PG,1999-00,MIL,Sam Cassell
0.0,0.0,0.14,0.413,0.258,0.913,0.103,0.087,0.316,0.0,0.601,0.471,0.503,0.333,0.49,0.385,0.833,0.306,0.387,31.0,1.0,13.2,0.474,76.0,NBA,2709.0,PG,2000-01,MIL,Sam Cassell
0.0,0.0,0.097,0.363,0.301,0.83,0.069,0.17,0.216,0.0,0.578,0.495,0.464,0.377,0.486,0.41,0.662,0.348,0.455,32.0,3.0,15.4,0.463,74.0,NBA,2605.0,PG,2001-02,MIL,Sam Cassell
0.0,0.0,0.131,0.352,0.262,0.86,0.114,0.14,0.227,0.0,0.605,0.479,0.436,0.351,0.487,0.496,0.847,0.362,0.432,33.0,3.0,14.1,0.47,78.0,NBA,2700.0,PG,2002-03,MIL,Sam Cassell
0.0,0.0,0.103,0.284,0.377,0.854,0.089,0.146,0.183,0.0,0.618,0.501,0.457,0.251,0.504,0.575,0.838,0.398,0.412,34.0,2.0,15.2,0.488,81.0,NBA,2838.0,PG,2003-04,MIN,Sam Cassell
0.0,0.0,0.086,0.227,0.488,0.85,0.049,0.15,0.155,0.0,0.661,0.436,0.493,0.318,0.5,0.588,0.815,0.262,0.563,35.0,5.0,16.9,0.464,59.0,NBA,1522.0,PG,2004-05,MIN,Sam Cassell
0.0,0.0,0.078,0.284,0.384,0.829,0.083,0.171,0.095,0.0,0.598,0.519,0.396,0.281,0.459,0.413,0.729,0.368,0.333,36.0,4.0,16.1,0.443,78.0,NBA,2653.0,PG,2005-06,LAC,Sam Cassell
0.0,0.0,0.115,0.258,0.352,0.826,0.101,0.174,0.083,0.0,0.569,0.453,0.391,0.262,0.444,0.46,0.844,0.294,0.333,37.0,0.0,15.1,0.418,58.0,NBA,1407.0,PG,2006-07,LAC,Sam Cassell
0.0,0.0,0.094,0.271,0.417,0.857,0.075,0.143,0.092,0.0,0.5,0.431,0.468,0.305,0.461,0.475,0.87,0.303,0.714,38.0,3.0,16.1,0.438,55.0,NBA,1274.0,PG,2007-08,TOT,Sam Cassell
0.0,0.0,0.109,0.291,0.381,0.866,0.085,0.134,0.074,0.0,0.568,0.462,0.471,0.284,0.486,0.529,0.857,0.259,0.5,38.0,2.0,15.4,0.455,38.0,NBA,975.0,PG,2007-08,LAC,Sam Cassell
0.0,0.0,0.046,0.208,0.531,0.831,0.046,0.169,0.136,0.0,0.0,0.296,0.464,0.39,0.38,0.167,0.889,0.409,1.0,38.0,1.0,18.1,0.385,17.0,NBA,299.0,PG,2007-08,BOS,Sam Cassell
27.0,0.0,0.545,0.117,0.041,0.993,0.29,0.007,0.0,0.193,0.671,0.412,0.333,0.514,0.486,0.19,0.0,0.0,0.0,24.0,1.0,4.5,0.483,49.0,NBA,760.0,C,2002-03,MIL,Dan Gadzuric
72.0,0.0,0.605,0.132,0.017,0.997,0.244,0.003,0.0,0.229,0.611,0.304,0.333,0.716,0.526,0.447,0.0,0.0,0.0,25.0,1.0,3.9,0.524,75.0,NBA,1260.0,C,2003-04,MIL,Dan Gadzuric
105.0,0.0,0.741,0.053,0.004,1.0,0.202,0.0,0.0,0.248,0.611,0.292,0.0,0.584,0.539,0.352,0.0,0.0,0.0,26.0,0.0,2.1,0.539,81.0,NBA,1783.0,C,2004-05,MIL,Dan Gadzuric
90.0,0.0,0.644,0.12,0.016,0.997,0.217,0.003,0.0,0.301,0.688,0.243,0.2,0.813,0.555,0.358,0.0,0.0,0.0,27.0,0.0,3.3,0.553,74.0,NBA,885.0,C,2005-06,MIL,Dan Gadzuric
38.0,0.0,0.654,0.123,0.035,0.996,0.184,0.004,0.0,0.197,0.564,0.321,0.625,0.704,0.476,0.238,0.0,0.0,0.0,28.0,0.0,3.8,0.474,54.0,NBA,840.0,C,2006-07,MIL,Dan Gadzuric
26.0,0.0,0.604,0.084,0.078,0.994,0.227,0.006,0.0,0.201,0.527,0.154,0.25,0.703,0.418,0.286,0.0,0.0,0.0,29.0,0.0,4.2,0.416,51.0,NBA,534.0,C,2007-08,MIL,Dan Gadzuric
36.0,0.0,0.48,0.221,0.168,0.992,0.123,0.008,0.0,0.156,0.59,0.37,0.366,0.641,0.483,0.433,0.0,0.0,0.0,30.0,0.0,7.1,0.48,67.0,NBA,941.0,C,2008-09,MIL,Dan Gadzuric
10.0,0.0,0.584,0.191,0.09,1.0,0.124,0.0,0.0,0.112,0.558,0.235,0.375,0.538,0.438,0.273,0.0,0.0,0.0,31.0,0.0,5.1,0.438,32.0,NBA,314.0,C,2009-10,MIL,Dan Gadzuric
14.0,0.0,0.457,0.101,0.132,0.992,0.302,0.008,0.0,0.116,0.559,0.231,0.294,0.611,0.422,0.333,0.0,0.0,0.0,32.0,0.0,6.1,0.419,42.0,NBA,463.0,"C,PF",2010-11,TOT,Dan Gadzuric
10.0,0.0,0.5,0.068,0.136,0.989,0.284,0.011,0.0,0.125,0.523,0.167,0.417,0.649,0.425,0.32,0.0,0.0,0.0,32.0,0.0,5.8,0.42,28.0,NBA,297.0,C,2010-11,GSW,Dan Gadzuric
4.0,0.0,0.366,0.171,0.122,1.0,0.341,0.0,0.0,0.098,0.667,0.286,0.0,0.529,0.415,0.357,0.0,0.0,0.0,32.0,0.0,6.9,0.415,14.0,NBA,166.0,PF,2010-11,NJN,Dan Gadzuric
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.6,0.0,2.0,NBA,13.0,C,2011-12,NYK,Dan Gadzuric
16.0,0.0,0.353,0.209,0.196,0.922,0.163,0.078,0.583,0.131,0.574,0.406,0.333,0.698,0.447,0.36,1.0,0.25,0.143,22.0,0.0,9.5,0.431,39.0,NBA,441.0,PF,2002-03,MIL,Marcus Haislip
