# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
52.0,0.0,0.367,0.194,0.305,0.996,0.129,0.004,0.0,0.121,0.71,0.312,0.39,0.68,0.505,0.484,0.0,0.0,0.0,21.0,0.0,9.3,0.503,63.0,NBA,1392.0,C,2006-07,POR,LaMarcus Aldridge
86.0,0.0,0.197,0.218,0.308,0.994,0.272,0.006,0.143,0.079,0.693,0.443,0.403,0.645,0.486,0.463,1.0,0.143,0.0,22.0,2.0,10.9,0.484,76.0,NBA,2649.0,PF,2007-08,POR,LaMarcus Aldridge
108.0,0.0,0.245,0.179,0.343,0.977,0.211,0.023,0.643,0.098,0.671,0.422,0.418,0.567,0.489,0.45,1.0,0.25,0.389,23.0,3.0,11.0,0.484,81.0,NBA,3004.0,PF,2008-09,POR,LaMarcus Aldridge
87.0,0.0,0.247,0.21,0.314,0.986,0.215,0.014,0.375,0.078,0.716,0.431,0.409,0.57,0.498,0.442,1.0,0.313,0.667,24.0,3.0,10.8,0.495,78.0,NBA,2922.0,PF,2009-10,POR,LaMarcus Aldridge
148.0,0.0,0.32,0.155,0.238,0.984,0.271,0.016,0.217,0.117,0.704,0.402,0.427,0.546,0.505,0.397,0.75,0.174,0.0,25.0,4.0,9.3,0.5,81.0,NBA,3211.0,PF,2010-11,POR,LaMarcus Aldridge
54.0,0.0,0.281,0.205,0.32,0.988,0.182,0.012,0.364,0.062,0.687,0.404,0.434,0.536,0.516,0.523,0.5,0.182,0.0,26.0,1.0,10.6,0.512,55.0,NBA,1994.0,PF,2011-12,POR,LaMarcus Aldridge
56.0,0.0,0.215,0.197,0.385,0.989,0.192,0.011,0.286,0.047,0.694,0.438,0.418,0.542,0.488,0.447,0.5,0.143,0.25,27.0,1.0,11.7,0.484,74.0,NBA,2790.0,PF,2012-13,POR,LaMarcus Aldridge
36.0,0.0,0.186,0.226,0.415,0.989,0.162,0.011,0.067,0.027,0.675,0.388,0.442,0.599,0.461,0.364,0.667,0.2,0.0,28.0,1.0,12.5,0.458,69.0,NBA,2498.0,PF,2013-14,POR,LaMarcus Aldridge
27.0,0.0,0.193,0.206,0.365,0.926,0.163,0.074,0.295,0.02,0.7,0.392,0.415,0.468,0.475,0.448,0.919,0.352,0.355,29.0,1.0,12.3,0.466,71.0,NBA,2512.0,PF,2014-15,POR,LaMarcus Aldridge
47.0,0.0,0.279,0.211,0.303,0.985,0.191,0.015,0.5,0.047,0.733,0.427,0.426,0.66,0.521,0.465,0.0,0.0,0.0,30.0,0.0,10.0,0.513,74.0,NBA,2261.0,PF,2015-16,SAS,LaMarcus Aldridge
37.0,0.0,0.222,0.202,0.328,0.947,0.194,0.053,0.411,0.041,0.7,0.387,0.424,0.577,0.48,0.422,0.957,0.411,0.435,31.0,0.0,11.8,0.477,72.0,NBA,2335.0,PF,2016-17,SAS,LaMarcus Aldridge
46.0,0.0,0.275,0.256,0.189,0.932,0.212,0.068,0.163,0.036,0.735,0.438,0.431,0.502,0.526,0.446,0.963,0.293,0.467,32.0,1.0,9.8,0.51,75.0,NBA,2509.0,C,2017-18,SAS,LaMarcus Aldridge
51.0,0.0,0.27,0.252,0.201,0.968,0.246,0.032,0.095,0.042,0.716,0.437,0.442,0.588,0.528,0.485,0.9,0.238,0.25,33.0,0.0,9.7,0.519,81.0,NBA,2687.0,C,2018-19,SAS,LaMarcus Aldridge
31.0,0.0,0.202,0.227,0.245,0.802,0.129,0.198,0.185,0.044,0.719,0.461,0.433,0.567,0.519,0.471,0.951,0.389,0.379,34.0,1.0,13.7,0.493,53.0,NBA,1754.0,C,2019-20,SAS,LaMarcus Aldridge
12.0,0.0,0.152,0.152,0.304,0.73,0.122,0.27,0.175,0.044,0.622,0.444,0.489,0.688,0.505,0.472,0.968,0.388,0.429,35.0,0.0,15.5,0.473,26.0,NBA,674.0,C,2020-21,TOT,LaMarcus Aldridge
6.0,0.0,0.109,0.125,0.335,0.698,0.129,0.302,0.16,0.024,0.63,0.452,0.518,0.705,0.509,0.438,0.963,0.36,0.417,35.0,0.0,16.6,0.464,21.0,NBA,544.0,C,2020-21,SAS,LaMarcus Aldridge
6.0,0.0,0.375,0.292,0.146,0.896,0.083,0.104,0.4,0.146,0.611,0.429,0.143,0.619,0.488,0.75,1.0,0.8,0.5,35.0,0.0,9.9,0.521,5.0,NBA,130.0,C,2020-21,BRK,LaMarcus Aldridge
18.0,0.0,0.21,0.24,0.279,0.9,0.17,0.1,0.283,0.039,0.729,0.509,0.563,0.748,0.578,0.513,1.0,0.304,0.308,36.0,0.0,12.3,0.55,47.0,NBA,1050.0,C,2021-22,BRK,LaMarcus Aldridge
38.0,0.0,0.273,0.181,0.314,0.986,0.217,0.014,0.333,0.067,0.583,0.388,0.458,0.623,0.479,0.453,1.0,0.333,0.667,22.0,0.0,10.3,0.477,65.0,NBA,1572.0,C,2005-06,NYK,Channing Frye
14.0,0.0,0.149,0.184,0.472,0.974,0.168,0.026,0.333,0.022,0.553,0.378,0.4,0.644,0.44,0.517,1.0,0.167,0.0,23.0,0.0,13.3,0.433,72.0,NBA,1896.0,PF,2006-07,NYK,Channing Frye
21.0,0.0,0.196,0.097,0.539,0.978,0.146,0.022,0.3,0.051,0.652,0.455,0.48,0.752,0.492,0.348,0.667,0.3,0.333,24.0,0.0,13.6,0.488,78.0,NBA,1342.0,C,2007-08,POR,Channing Frye
6.0,0.0,0.142,0.06,0.573,0.876,0.101,0.124,0.485,0.022,0.526,0.375,0.425,0.794,0.436,0.407,1.0,0.333,0.5,25.0,0.0,16.0,0.423,63.0,NBA,746.0,PF,2008-09,POR,Channing Frye
