SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2013-14,19.0,MIL,NBA,SF,77.0,23.0,1897.0,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5.0,6.4,2.8,1.1,1.2,2.3,3.3,10.0,Giannis Antetokounmpo
2014-15,20.0,MIL,NBA,SG,81.0,71.0,2541.0,5.4,11.1,0.491,0.1,0.6,0.159,5.3,10.4,0.511,3.6,4.9,0.741,1.4,6.3,7.7,2.9,1.0,1.2,2.5,3.6,14.6,Giannis Antetokounmpo
2015-16,21.0,MIL,NBA,PG,80.0,79.0,2823.0,6.5,12.9,0.506,0.4,1.4,0.257,6.2,11.5,0.537,3.8,5.2,0.724,1.4,6.4,7.8,4.4,1.2,1.4,2.7,3.3,17.2,Giannis Antetokounmpo
2016-17,22.0,MIL,NBA,SF,80.0,80.0,2845.0,8.3,15.9,0.521,0.6,2.3,0.272,7.7,13.7,0.563,6.0,7.7,0.77,1.8,7.1,8.9,5.5,1.7,1.9,3.0,3.1,23.2,Giannis Antetokounmpo
2017-18,23.0,MIL,NBA,PF,75.0,75.0,2756.0,9.7,18.3,0.529,0.6,1.8,0.307,9.1,16.5,0.554,6.4,8.4,0.76,2.0,7.8,9.8,4.7,1.4,1.4,2.9,3.0,26.3,Giannis Antetokounmpo
2018-19,24.0,MIL,NBA,PF,72.0,72.0,2358.0,11.0,19.0,0.578,0.8,3.1,0.256,10.2,15.9,0.641,7.6,10.5,0.729,2.4,11.3,13.7,6.5,1.4,1.7,4.1,3.5,30.4,Giannis Antetokounmpo
2019-20,25.0,MIL,NBA,PF,63.0,63.0,1917.0,12.9,23.2,0.553,1.7,5.5,0.304,11.2,17.7,0.631,7.5,11.8,0.633,2.6,13.4,16.1,6.6,1.1,1.2,4.3,3.7,34.9,Giannis Antetokounmpo
2020-21,26.0,MIL,NBA,PF,61.0,61.0,2013.0,11.2,19.7,0.569,1.2,4.0,0.303,10.0,15.7,0.636,7.1,10.4,0.685,1.7,10.3,12.0,6.4,1.3,1.3,3.7,3.0,30.7,Giannis Antetokounmpo
2021-22,27.0,MIL,NBA,PF,67.0,67.0,2204.0,11.3,20.3,0.553,1.2,4.0,0.293,10.1,16.4,0.616,9.0,12.5,0.722,2.2,10.5,12.7,6.3,1.2,1.5,3.6,3.5,32.7,Giannis Antetokounmpo
2022-23,28.0,MIL,NBA,PF,63.0,63.0,2024.0,12.6,22.7,0.553,0.8,3.0,0.275,11.7,19.7,0.596,8.9,13.7,0.645,2.4,10.8,13.2,6.4,0.9,0.9,4.4,3.5,34.8,Giannis Antetokounmpo
2015-16,23.0,NYK,NBA,SF,2.0,0.0,6.0,18.0,24.0,0.75,0.0,6.0,0.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,36.0,Thanasis Antetokounmpo
2019-20,27.0,MIL,NBA,SF,20.0,2.0,129.0,6.7,13.4,0.5,0.0,2.8,0.0,6.7,10.6,0.632,2.0,4.7,0.412,3.3,3.3,6.7,4.2,2.0,0.6,3.3,5.0,15.3,Thanasis Antetokounmpo
2020-21,28.0,MIL,NBA,SF,57.0,3.0,551.0,4.4,9.0,0.489,0.5,1.9,0.241,3.9,7.1,0.556,1.6,3.2,0.51,3.5,4.6,8.1,3.0,1.4,0.7,2.8,4.8,10.8,Thanasis Antetokounmpo
2021-22,29.0,MIL,NBA,SF,48.0,6.0,473.0,5.3,9.7,0.547,0.2,1.1,0.143,5.2,8.7,0.596,2.2,3.5,0.63,3.0,4.6,7.7,1.7,1.2,0.9,2.0,5.2,13.0,Thanasis Antetokounmpo
2022-23,30.0,MIL,NBA,PF,37.0,0.0,206.0,3.5,8.0,0.435,0.0,1.4,0.0,3.5,6.6,0.526,1.9,3.8,0.5,2.6,5.1,7.7,2.6,0.5,0.5,2.1,3.8,8.9,Thanasis Antetokounmpo
2016-17,19.0,PHO,NBA,PF,43.0,0.0,574.0,3.6,10.1,0.354,1.8,6.3,0.277,1.8,3.8,0.483,0.3,0.7,0.364,1.4,5.0,6.5,1.4,0.6,1.4,2.0,4.6,9.2,Dragan Bender
2017-18,20.0,PHO,NBA,PF,82.0,37.0,2069.0,3.3,8.4,0.386,2.1,5.6,0.366,1.2,2.8,0.426,0.7,0.9,0.765,0.7,5.6,6.3,2.3,0.4,0.9,1.9,2.9,9.2,Dragan Bender
2018-19,21.0,PHO,NBA,PF,46.0,27.0,826.0,3.8,8.6,0.447,1.0,4.4,0.218,2.9,4.2,0.688,1.4,2.4,0.593,1.5,6.5,8.0,2.4,0.8,1.0,1.6,3.9,10.0,Dragan Bender
2019-20,22.0,TOT,NBA,"C,PF",16.0,3.0,286.0,5.2,11.6,0.446,1.9,5.4,0.349,3.3,6.2,0.531,1.3,1.8,0.714,2.0,7.2,9.2,3.5,0.5,1.1,2.6,5.3,13.5,Dragan Bender
2019-20,22.0,MIL,NBA,C,7.0,0.0,91.0,4.0,8.3,0.476,1.6,3.6,0.444,2.4,4.7,0.5,0.8,1.2,0.667,0.0,7.9,7.9,3.6,0.0,2.0,2.0,6.3,10.3,Dragan Bender
2019-20,22.0,GSW,NBA,PF,9.0,3.0,195.0,5.7,13.1,0.437,2.0,6.3,0.324,3.7,6.8,0.541,1.5,2.0,0.727,3.0,6.8,9.8,3.5,0.7,0.7,3.0,4.8,15.0,Dragan Bender
2010-11,21.0,LAC,NBA,PG,81.0,25.0,1841.0,4.0,9.5,0.424,0.6,2.3,0.276,3.4,7.2,0.47,1.9,2.6,0.744,1.3,3.0,4.4,5.7,1.8,0.5,3.8,2.5,10.6,Eric Bledsoe
2011-12,22.0,LAC,NBA,PG,40.0,1.0,464.0,3.8,9.8,0.389,0.5,2.3,0.2,3.3,7.4,0.448,2.2,3.4,0.636,1.7,3.3,5.0,5.1,2.4,1.1,3.6,4.5,10.2,Eric Bledsoe
2012-13,23.0,LAC,NBA,PG,76.0,12.0,1553.0,5.9,13.2,0.445,0.7,1.8,0.397,5.1,11.4,0.453,2.5,3.1,0.791,1.8,3.4,5.2,5.4,2.5,1.3,3.2,2.6,14.9,Eric Bledsoe
2013-14,24.0,PHO,NBA,PG,43.0,40.0,1416.0,6.7,14.1,0.477,1.3,3.6,0.357,5.5,10.6,0.517,4.7,6.0,0.772,0.7,4.4,5.1,6.0,1.8,0.4,3.6,2.5,19.4,Eric Bledsoe
2014-15,25.0,PHO,NBA,PG,81.0,81.0,2800.0,6.0,13.4,0.447,1.1,3.5,0.324,4.9,10.0,0.491,4.5,5.7,0.8,0.9,4.5,5.4,6.3,1.6,0.6,3.5,2.4,17.7,Eric Bledsoe
2015-16,26.0,PHO,NBA,PG,31.0,31.0,1059.0,7.6,16.7,0.453,1.6,4.4,0.372,5.9,12.3,0.482,4.7,5.8,0.802,0.6,3.6,4.2,6.5,2.1,0.6,3.7,2.5,21.5,Eric Bledsoe
2016-17,27.0,PHO,NBA,PG,66.0,66.0,2176.0,7.4,17.1,0.434,1.7,5.1,0.335,5.7,12.0,0.477,6.4,7.6,0.847,0.9,4.4,5.3,6.9,1.5,0.5,3.7,2.7,23.0,Eric Bledsoe
2017-18,28.0,TOT,NBA,PG,74.0,74.0,2322.0,7.3,15.3,0.473,1.9,5.6,0.347,5.3,9.8,0.545,3.9,4.9,0.795,0.8,3.6,4.4,5.7,2.3,0.7,3.3,2.9,20.4,Eric Bledsoe
2017-18,28.0,PHO,NBA,PG,3.0,3.0,83.0,6.9,17.3,0.4,1.7,5.6,0.308,5.2,11.7,0.444,4.8,6.1,0.786,1.3,1.7,3.0,3.9,1.7,0.9,4.3,2.6,20.4,Eric Bledsoe
2017-18,28.0,MIL,NBA,PG,71.0,71.0,2239.0,7.3,15.3,0.476,1.9,5.6,0.349,5.3,9.7,0.55,3.9,4.9,0.795,0.8,3.7,4.5,5.8,2.3,0.6,3.3,2.9,20.4,Eric Bledsoe
2018-19,29.0,MIL,NBA,PG,78.0,78.0,2272.0,7.4,15.4,0.484,2.0,6.0,0.329,5.5,9.4,0.582,2.8,3.7,0.75,1.3,4.4,5.7,6.8,1.8,0.5,2.6,2.5,19.7,Eric Bledsoe
2019-20,30.0,MIL,NBA,PG,61.0,61.0,1646.0,7.3,15.4,0.475,1.6,4.7,0.344,5.7,10.7,0.533,3.7,4.7,0.79,0.9,5.2,6.2,7.2,1.2,0.6,3.2,2.8,19.9,Eric Bledsoe
2020-21,31.0,NOP,NBA,SG,71.0,70.0,2111.0,5.2,12.4,0.421,2.1,6.1,0.341,3.2,6.4,0.496,2.3,3.3,0.687,0.5,3.7,4.2,4.6,0.9,0.4,1.9,1.9,14.8,Eric Bledsoe
2021-22,32.0,LAC,NBA,PG,54.0,29.0,1361.0,5.2,12.4,0.421,1.3,4.3,0.313,3.9,8.1,0.479,2.4,3.1,0.761,0.7,4.1,4.8,6.0,1.8,0.5,3.1,2.2,14.1,Eric Bledsoe
