DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2016-02-24,33-131,WAS,AWAY,CHI,L (-5),0,16:28,3,4,.750,2,3,.667,1,1,1.000,0,3,3,1,0,0,1,2,9,7.2,+11,Alan Anderson
2016-02-26,33-133,WAS,AWAY,PHI,W (+9),0,15:48,1,3,.333,1,2,.500,2,2,1.000,1,1,2,0,0,1,0,2,5,4.2,+5,Alan Anderson
2016-02-28,33-135,WAS,HOME,CLE,W (+14),0,15:21,1,5,.200,1,4,.250,2,3,.667,0,3,3,2,1,0,0,1,5,4.4,+6,Alan Anderson
2016-03-02,33-138,WAS,AWAY,MIN,W (+6),0,20:35,6,9,.667,4,7,.571,2,2,1.000,0,2,2,0,1,0,0,4,18,14.1,+23,Alan Anderson
2016-03-05,33-141,WAS,HOME,IND,L (-1),0,23:32,3,6,.500,1,2,.500,2,2,1.000,0,3,3,4,0,0,0,4,9,8.1,+9,Alan Anderson
2016-03-08,33-144,WAS,AWAY,POR,L (-7),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,Alan Anderson
2016-03-11,33-147,WAS,AWAY,UTA,L (-21),0,15:31,1,7,.143,1,4,.250,0,0,,0,1,1,1,0,0,0,3,3,-1.7,-4,Alan Anderson
2016-03-14,33-150,WAS,HOME,DET,W (+43),0,3:31,1,1,1.000,1,1,1.000,0,1,.000,0,2,2,0,0,0,1,0,3,1.9,+3,Alan Anderson
2016-03-19,33-155,WAS,HOME,NYK,W (+10),0,18:17,1,6,.167,0,5,.000,0,0,,0,3,3,1,0,0,0,1,2,-0.6,-6,Alan Anderson
2016-04-08,33-175,WAS,AWAY,DET,L (-13),0,19:09,0,3,.000,0,3,.000,0,0,,0,1,1,1,1,0,0,1,0,-0.5,+3,Alan Anderson
2016-04-10,33-177,WAS,HOME,CHO,W (+15),0,12:50,1,3,.333,0,1,.000,2,4,.500,0,3,3,0,0,0,0,1,4,2.0,-1,Alan Anderson
2016-04-11,33-178,WAS,AWAY,BRK,W (+9),0,17:46,2,8,.250,0,2,.000,0,0,,0,0,0,3,0,0,0,2,4,0.5,+1,Alan Anderson
2016-04-13,33-180,WAS,HOME,ATL,W (+11),0,12:12,1,4,.250,1,3,.333,0,0,,0,4,4,1,1,0,0,4,3,1.9,-16,Alan Anderson
2015-10-28,22-122,WAS,AWAY,ORL,W (+1),1,37:36,9,19,.474,2,8,.250,4,7,.571,3,3,6,0,0,1,4,2,24,12.0,+4,Bradley Beal
2015-10-30,22-124,WAS,AWAY,MIL,W (+5),1,29:43,9,16,.563,5,6,.833,3,4,.750,1,2,3,3,0,0,5,5,26,14.4,+9,Bradley Beal
2015-10-31,22-125,WAS,HOME,NYK,L (-7),1,37:12,9,23,.391,3,6,.500,5,5,1.000,0,4,4,0,2,0,1,4,26,14.1,-9,Bradley Beal
2015-11-04,22-129,WAS,HOME,SAS,W (+3),1,36:16,11,22,.500,3,8,.375,0,0,,2,3,5,4,3,0,1,3,25,19.9,+10,Bradley Beal
