2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
222.0,0.55,404.0,47.0,0.331,142.0,21.0,246.0,48.0,375.0,269.0,0.493,546.0,156.0,0.743,210.0,82.0,82.0,NBA,2686.0,89.0,204.0,SG,741.0,2004-05,138.0,PHI,139.0,464.0,0.536,Andre Iguodala
288.0,0.543,530.0,56.0,0.354,158.0,22.0,255.0,21.0,364.0,344.0,0.5,688.0,263.0,0.754,349.0,82.0,82.0,NBA,3086.0,117.0,198.0,SF,1007.0,2005-06,135.0,PHI,153.0,481.0,0.541,Andre Iguodala
395.0,0.472,836.0,48.0,0.31,155.0,23.0,432.0,33.0,357.0,443.0,0.447,991.0,452.0,0.82,551.0,76.0,76.0,NBA,3062.0,77.0,200.0,SG,1386.0,2006-07,152.0,PHI,261.0,434.0,0.471,Andre Iguodala
481.0,0.496,970.0,101.0,0.329,307.0,24.0,391.0,49.0,361.0,582.0,0.456,1277.0,365.0,0.721,506.0,82.0,82.0,NBA,3242.0,85.0,187.0,SF,1630.0,2007-08,171.0,PHI,214.0,446.0,0.495,Andre Iguodala
462.0,0.521,886.0,80.0,0.307,261.0,25.0,434.0,36.0,379.0,542.0,0.473,1147.0,377.0,0.724,521.0,82.0,82.0,NBA,3269.0,92.0,152.0,SF,1541.0,2008-09,131.0,PHI,222.0,471.0,0.507,Andre Iguodala
402.0,0.492,817.0,94.0,0.31,303.0,26.0,472.0,55.0,447.0,496.0,0.443,1120.0,315.0,0.733,430.0,82.0,82.0,NBA,3193.0,82.0,145.0,SF,1401.0,2009-10,141.0,PHI,218.0,529.0,0.485,Andre Iguodala
277.0,0.479,578.0,61.0,0.337,181.0,27.0,422.0,38.0,326.0,338.0,0.445,759.0,208.0,0.693,300.0,67.0,67.0,NBA,2469.0,61.0,109.0,SF,945.0,2010-11,101.0,PHI,138.0,387.0,0.486,Andre Iguodala
211.0,0.481,439.0,76.0,0.394,193.0,28.0,339.0,30.0,325.0,287.0,0.454,632.0,121.0,0.617,196.0,62.0,62.0,NBA,2209.0,56.0,92.0,SF,771.0,2011-12,107.0,PHI,115.0,381.0,0.514,Andre Iguodala
305.0,0.515,592.0,91.0,0.317,287.0,29.0,433.0,52.0,341.0,396.0,0.451,879.0,155.0,0.574,270.0,80.0,80.0,NBA,2779.0,82.0,127.0,SG,1038.0,2012-13,139.0,DEN,206.0,423.0,0.502,Andre Iguodala
158.0,0.558,283.0,62.0,0.354,175.0,30.0,263.0,18.0,240.0,220.0,0.48,458.0,86.0,0.652,132.0,63.0,63.0,NBA,2040.0,53.0,103.0,SF,588.0,2013-14,95.0,GSW,100.0,293.0,0.548,Andre Iguodala
