SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2006-07,23.0,DET,NBA,PG,14.0,0.0,166.0,2.0,6.5,0.3,0.2,1.1,0.2,1.7,5.4,0.32,1.3,1.3,1.0,1.3,2.0,3.3,3.7,1.1,0.0,2.6,2.0,5.4,Will Blalock
2005-06,18.0,DET,NBA,SF,3.0,0.0,39.0,6.5,9.2,0.7,1.8,2.8,0.667,4.6,6.5,0.714,3.7,3.7,1.0,2.8,0.9,3.7,2.8,0.0,1.8,3.7,6.5,18.5,Amir Johnson
2006-07,19.0,DET,NBA,PF,8.0,0.0,124.0,5.2,9.6,0.545,0.0,0.9,0.0,5.2,8.7,0.6,3.2,4.1,0.786,4.4,6.4,10.7,0.9,1.5,3.8,2.6,5.5,13.6,Amir Johnson
2007-08,20.0,DET,NBA,PF,62.0,0.0,764.0,4.3,7.8,0.558,0.0,0.0,0.0,4.3,7.8,0.558,1.7,2.6,0.673,4.1,7.0,11.1,1.4,1.1,3.9,1.8,6.6,10.4,Amir Johnson
2008-09,21.0,DET,NBA,PF,62.0,24.0,911.0,3.8,6.4,0.595,0.0,0.0,0.0,3.8,6.4,0.595,0.9,1.4,0.657,4.0,5.1,9.2,0.8,0.8,2.4,1.3,6.8,8.6,Amir Johnson
2009-10,22.0,TOR,NBA,PF,82.0,5.0,1453.0,5.2,8.3,0.623,0.0,0.1,0.0,5.2,8.2,0.63,2.4,3.7,0.638,3.8,6.0,9.8,1.2,1.1,1.6,1.6,6.3,12.7,Amir Johnson
2010-11,23.0,TOR,NBA,PF,72.0,54.0,1853.0,5.5,9.6,0.568,0.0,0.0,0.0,5.5,9.6,0.569,2.4,3.1,0.788,3.7,5.3,9.0,1.6,1.0,1.7,1.3,5.1,13.4,Amir Johnson
2011-12,24.0,TOR,NBA,PF,64.0,43.0,1553.0,4.5,7.9,0.576,0.0,0.1,0.4,4.5,7.8,0.579,1.3,1.9,0.69,3.5,6.0,9.5,1.8,0.8,1.6,2.2,4.8,10.5,Amir Johnson
2012-13,25.0,TOR,NBA,PF,81.0,38.0,2325.0,5.2,9.4,0.554,0.1,0.2,0.385,5.1,9.2,0.558,2.1,2.9,0.727,3.5,5.9,9.5,1.9,1.3,1.7,1.8,4.7,12.6,Amir Johnson
2013-14,26.0,TOR,NBA,PF,77.0,72.0,2214.0,5.6,10.0,0.562,0.3,1.1,0.303,5.3,8.9,0.593,1.5,2.3,0.636,2.8,5.4,8.2,1.9,0.9,1.4,2.0,4.4,13.0,Amir Johnson
2014-15,27.0,TOR,NBA,PF,75.0,72.0,1979.0,5.4,9.4,0.574,0.3,0.8,0.413,5.1,8.6,0.59,1.4,2.3,0.612,2.9,5.4,8.3,2.1,0.8,1.1,2.0,4.1,12.6,Amir Johnson
2015-16,28.0,BOS,NBA,PF,79.0,76.0,1800.0,5.0,8.5,0.585,0.2,0.9,0.233,4.8,7.7,0.624,1.4,2.4,0.57,3.6,6.5,10.1,2.8,1.0,1.7,1.9,4.3,11.5,Amir Johnson
