SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PLAYER
2005-06,20.0,NOK,NBA,PF,29.0,268.0,9.1,0.434,0.0,0.271,7.8,22.8,15.1,1.8,0.6,2.2,12.3,15.6,-0.2,0.3,0.1,0.013,-3.6,-1.4,-5.0,-0.2,Brandon Bass
2006-07,21.0,NOK,NBA,PF,21.0,162.0,7.2,0.411,0.023,0.364,9.1,21.9,15.3,2.8,0.7,1.5,16.4,17.2,-0.2,0.2,0.0,-0.011,-4.5,-1.1,-5.6,-0.1,Brandon Bass
2007-08,22.0,DAL,NBA,C,79.0,1557.0,15.9,0.564,0.008,0.4,9.2,16.3,12.9,6.1,0.8,2.3,12.4,19.8,2.4,1.9,4.3,0.132,-0.2,-0.2,-0.4,0.6,Brandon Bass
2008-09,23.0,DAL,NBA,C,81.0,1574.0,16.4,0.571,0.012,0.413,9.5,17.2,13.4,4.3,0.9,2.6,12.5,20.0,2.5,1.6,4.1,0.124,-0.7,-0.8,-1.5,0.2,Brandon Bass
2009-10,24.0,ORL,NBA,PF,50.0,648.0,16.5,0.556,0.0,0.27,10.0,12.6,11.3,5.1,1.0,3.1,10.6,20.9,1.0,1.0,2.0,0.147,-0.7,0.1,-0.6,0.2,Brandon Bass
2010-11,25.0,ORL,NBA,PF,76.0,1980.0,15.9,0.571,0.003,0.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,3.2,3.1,6.3,0.153,-0.3,0.5,0.2,1.1,Brandon Bass
2011-12,26.0,BOS,NBA,PF,59.0,1868.0,14.1,0.524,0.0,0.258,6.3,16.3,11.5,5.1,1.0,2.2,8.5,19.8,1.5,3.2,4.7,0.122,-1.3,0.3,-1.0,0.5,Brandon Bass
2012-13,27.0,BOS,NBA,PF,81.0,2239.0,12.3,0.535,0.003,0.255,7.0,15.2,11.2,6.0,1.0,2.3,10.9,15.5,2.0,2.7,4.7,0.101,-1.9,0.0,-1.9,0.1,Brandon Bass
2013-14,28.0,BOS,NBA,PF,82.0,2266.0,15.0,0.549,0.008,0.33,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,3.2,1.9,5.1,0.107,-0.6,-0.6,-1.1,0.5,Brandon Bass
2014-15,29.0,BOS,NBA,PF,82.0,1929.0,16.3,0.557,0.047,0.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,3.4,1.9,5.3,0.132,0.5,-0.5,0.0,1.0,Brandon Bass
2015-16,30.0,LAL,NBA,PF,66.0,1342.0,17.3,0.619,0.006,0.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,3.4,0.7,4.1,0.146,0.6,0.0,0.6,0.9,Brandon Bass
2016-17,31.0,LAC,NBA,PF,52.0,577.0,19.7,0.65,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,1.6,0.6,2.2,0.186,1.2,-0.8,0.4,0.4,Brandon Bass
2014-15,23.0,TOT,NBA,C,63.0,1196.0,14.7,0.583,0.004,0.432,12.8,21.4,17.0,5.6,0.8,1.6,12.9,13.8,2.2,0.9,3.1,0.124,-1.0,-1.1,-2.1,0.0,Tarik Black
2014-15,23.0,HOU,NBA,C,25.0,393.0,11.6,0.548,0.012,0.349,16.3,19.3,17.8,3.1,0.8,0.4,16.6,12.7,0.5,0.4,0.9,0.113,-2.3,-1.7,-3.9,-0.2,Tarik Black
2014-15,23.0,LAL,NBA,C,38.0,803.0,16.3,0.598,0.0,0.468,11.1,22.5,16.6,6.8,0.8,2.2,11.2,14.3,1.7,0.4,2.2,0.129,-0.4,-0.8,-1.3,0.2,Tarik Black
