SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2007-08,22.0,UTA,NBA,SG,9.0,0.0,39.0,5.3,19.8,0.267,1.3,5.3,0.25,4.0,14.5,0.273,5.3,7.9,0.667,0.0,2.6,2.6,4.0,1.3,0.0,2.6,6.6,17.2,81.0,111.0,Morris Almond
2008-09,23.0,UTA,NBA,SG,25.0,1.0,255.0,6.7,16.4,0.407,1.0,3.4,0.294,5.7,12.9,0.438,4.2,5.3,0.808,1.8,5.5,7.3,1.4,0.8,0.8,3.2,6.3,18.6,94.0,110.0,Morris Almond
2011-12,26.0,WAS,NBA,SG,4.0,0.0,67.0,4.6,13.2,0.353,0.8,2.3,0.333,3.9,10.8,0.357,0.8,2.3,0.333,0.8,5.4,6.2,1.5,5.4,0.0,0.8,4.6,10.8,85.0,101.0,Morris Almond
2005-06,19.0,WAS,NBA,PF,29.0,0.0,175.0,7.7,19.9,0.388,0.9,3.9,0.231,6.8,16.1,0.426,3.0,3.6,0.833,3.6,7.7,11.3,3.0,1.5,2.1,3.6,10.7,19.3,93.0,105.0,Andray Blatche
2006-07,20.0,WAS,NBA,PF,56.0,13.0,682.0,6.4,14.7,0.437,0.3,2.0,0.148,6.1,12.7,0.482,2.2,3.7,0.612,5.8,8.5,14.3,2.9,1.3,2.4,3.7,7.0,15.4,97.0,108.0,Andray Blatche
2007-08,21.0,WAS,NBA,PF,82.0,15.0,1675.0,8.1,17.2,0.474,0.1,0.4,0.231,8.0,16.8,0.48,3.4,4.9,0.695,5.3,8.4,13.6,2.9,1.7,3.7,3.6,8.3,19.8,103.0,105.0,Andray Blatche
2008-09,22.0,WAS,NBA,C,71.0,36.0,1703.0,9.2,19.5,0.471,0.2,0.7,0.238,9.0,18.9,0.479,3.5,5.0,0.704,3.9,7.8,11.7,3.7,1.6,2.3,3.6,6.5,22.1,101.0,111.0,Andray Blatche
2009-10,23.0,WAS,NBA,PF,81.0,36.0,2256.0,11.1,23.2,0.478,0.3,1.0,0.295,10.8,22.2,0.487,4.0,5.4,0.744,3.7,8.1,11.8,3.9,2.0,1.6,4.2,5.1,26.5,101.0,106.0,Andray Blatche
2010-11,24.0,WAS,NBA,PF,64.0,63.0,2172.0,10.0,22.5,0.445,0.1,0.4,0.222,9.9,22.1,0.449,5.2,6.7,0.777,4.3,8.1,12.4,3.4,2.3,1.2,4.1,4.3,25.3,100.0,108.0,Andray Blatche
2011-12,25.0,WAS,NBA,PF,26.0,13.0,626.0,7.7,20.3,0.38,0.2,0.6,0.286,7.5,19.7,0.382,2.7,4.1,0.673,3.5,8.9,12.4,2.3,1.7,1.4,3.1,4.5,18.3,87.0,105.0,Andray Blatche
2012-13,26.0,BRK,NBA,C,82.0,8.0,1555.0,12.0,23.5,0.512,0.1,0.8,0.136,11.9,22.7,0.524,5.1,7.5,0.685,5.6,8.9,14.5,3.0,3.0,1.9,4.3,5.7,29.3,107.0,101.0,Andray Blatche
2013-14,27.0,BRK,NBA,PF,73.0,7.0,1618.0,10.4,21.9,0.476,0.5,1.8,0.278,9.9,20.1,0.494,5.3,7.2,0.742,3.9,8.8,12.7,3.6,2.4,1.2,3.6,5.4,26.6,104.0,105.0,Andray Blatche
2010-11,23.0,WAS,NBA,PF,65.0,14.0,1063.0,6.7,12.2,0.549,0.0,0.0,0.0,6.7,12.1,0.552,3.3,4.9,0.673,4.7,7.4,12.1,1.7,1.4,2.0,1.8,5.5,16.7,118.0,109.0,Trevor Booker
2011-12,24.0,WAS,NBA,PF,50.0,32.0,1261.0,7.4,14.0,0.531,0.0,0.1,0.5,7.4,13.9,0.531,2.3,3.8,0.602,4.9,8.5,13.4,1.6,2.0,1.8,2.4,5.7,17.2,109.0,104.0,Trevor Booker
2012-13,25.0,WAS,NBA,PF,48.0,14.0,887.0,6.3,12.9,0.491,0.0,0.3,0.0,6.3,12.6,0.502,2.3,4.2,0.556,5.8,8.3,14.0,2.3,1.9,0.9,1.8,5.6,15.0,109.0,102.0,Trevor Booker
2013-14,26.0,WAS,NBA,PF,72.0,45.0,1553.0,7.4,13.4,0.551,0.0,0.1,0.0,7.4,13.3,0.554,1.6,2.5,0.618,4.9,7.6,12.6,2.1,1.4,1.5,1.9,4.3,16.3,114.0,104.0,Trevor Booker
2014-15,27.0,UTA,NBA,PF,79.0,5.0,1564.0,7.7,15.8,0.487,1.0,2.9,0.345,6.7,12.9,0.518,2.9,5.0,0.581,4.7,8.8,13.5,2.8,1.5,1.4,3.0,4.9,19.3,107.0,104.0,Trevor Booker
