SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PLAYER
2007-08,21.0,ATL,NBA,C,81.0,2540.0,14.7,0.539,0.007,0.317,11.4,24.5,18.0,7.9,1.2,2.2,15.3,16.0,2.4,3.0,5.5,0.103,-1.2,-0.3,-1.6,0.3,Al Horford
2008-09,22.0,ATL,NBA,C,67.0,2242.0,17.0,0.565,0.002,0.345,7.6,25.0,16.3,11.9,1.3,3.3,13.1,16.4,3.3,3.5,6.8,0.145,0.2,1.5,1.7,2.1,Al Horford
2009-10,23.0,ATL,NBA,C,81.0,2845.0,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.8,0.5,2.3,3.1,Al Horford
2010-11,24.0,ATL,NBA,C,77.0,2704.0,20.7,0.587,0.004,0.204,8.2,23.7,16.0,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2.5,1.1,3.6,3.9,Al Horford
2011-12,25.0,ATL,NBA,C,11.0,348.0,19.0,0.585,0.01,0.291,8.8,17.1,13.0,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,1.8,1.5,3.4,0.5,Al Horford
2012-13,26.0,ATL,NBA,C,74.0,2756.0,19.8,0.56,0.006,0.196,8.2,23.0,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,1.3,0.6,1.9,2.7,Al Horford
2013-14,27.0,ATL,NBA,C,29.0,958.0,22.0,0.588,0.026,0.202,8.0,21.4,14.8,15.2,1.4,3.6,12.3,24.7,1.5,1.3,2.8,0.141,2.2,0.8,3.0,1.2,Al Horford
2014-15,28.0,ATL,NBA,C,76.0,2318.0,21.4,0.563,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,2.6,1.5,4.1,3.6,Al Horford
2015-16,29.0,ATL,NBA,C,82.0,2631.0,19.4,0.565,0.244,0.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,0.172,2.2,1.6,3.8,3.9,Al Horford
2016-17,30.0,BOS,NBA,C,68.0,2193.0,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,2.3,1.1,3.4,3.0,Al Horford
2017-18,31.0,BOS,NBA,C,72.0,2277.0,17.6,0.575,0.3,0.159,5.0,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4.0,3.8,7.8,0.165,2.4,2.0,4.4,3.7,Al Horford
2018-19,32.0,BOS,NBA,C,68.0,1973.0,20.2,0.605,0.281,0.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,18.9,4.5,2.9,7.5,0.181,3.3,1.9,5.1,3.6,Al Horford
2019-20,33.0,PHI,NBA,C,67.0,2025.0,15.7,0.536,0.399,0.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,2.8,2.6,5.4,0.128,1.3,1.0,2.2,2.2,Al Horford
2020-21,34.0,OKC,NBA,C,28.0,782.0,17.4,0.538,0.422,0.061,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,0.8,0.9,1.6,0.101,2.0,1.4,3.4,1.1,Al Horford
2021-22,35.0,BOS,NBA,C,69.0,2005.0,16.7,0.574,0.466,0.167,6.0,22.2,14.3,16.4,1.2,4.2,9.6,14.8,3.7,3.8,7.6,0.181,1.4,2.9,4.3,3.2,Al Horford
2022-23,36.0,BOS,NBA,C,63.0,1922.0,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,Al Horford
2006-07,22.0,ATL,NBA,PF,58.0,666.0,12.3,0.587,0.008,0.586,8.7,15.9,12.3,2.7,0.9,4.9,13.4,12.8,1.0,0.7,1.6,0.117,-3.4,0.2,-3.1,-0.2,Solomon Jones
2007-08,23.0,ATL,NBA,PF,35.0,145.0,6.8,0.451,0.067,0.667,15.3,18.4,16.9,0.0,1.1,2.6,22.1,15.6,-0.1,0.1,0.0,0.0,-6.7,-2.0,-8.8,-0.2,Solomon Jones
2008-09,24.0,ATL,NBA,C,63.0,675.0,12.0,0.655,0.018,0.667,9.1,15.6,12.3,3.4,0.6,3.9,15.8,11.8,1.2,0.7,1.9,0.138,-3.2,0.5,-2.7,-0.1,Solomon Jones
2009-10,25.0,IND,NBA,C,52.0,675.0,9.9,0.499,0.017,0.403,8.2,15.1,11.6,7.3,1.0,3.9,16.2,16.1,0.0,0.8,0.8,0.058,-5.0,0.8,-4.2,-0.4,Solomon Jones
2010-11,26.0,IND,NBA,C,39.0,528.0,8.5,0.469,0.008,0.512,9.5,14.2,11.9,8.5,1.2,3.0,19.1,15.4,-0.2,0.6,0.5,0.042,-5.3,0.8,-4.5,-0.3,Solomon Jones
2011-12,27.0,TOT,NBA,"C,PF",21.0,292.0,9.1,0.471,0.0,0.377,13.1,10.5,11.8,4.9,1.7,3.1,20.2,14.4,0.0,0.3,0.3,0.042,-4.0,-0.1,-4.2,-0.2,Solomon Jones
2011-12,27.0,LAC,NBA,PF,10.0,96.0,5.3,0.294,0.0,0.625,13.5,7.5,10.5,2.8,2.2,4.3,32.9,7.3,-0.1,0.1,0.0,0.008,-4.5,-0.1,-4.6,-0.1,Solomon Jones
