SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
1997-98,24.0,IND,NBA,PF,5.0,0.0,11.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,9.9,19.9,29.8,5.0,0.0,9.9,14.9,14.9,0.0,27.0,87.0,Etdrick Bohannon
1998-99,25.0,WAS,NBA,SF,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,Etdrick Bohannon
1999-00,26.0,TOT,NBA,PF,13.0,0.0,118.0,3.0,5.6,0.538,0.0,0.0,0.0,3.0,5.6,0.538,6.5,10.4,0.625,5.6,7.8,13.5,2.2,0.9,2.6,4.3,10.8,12.6,104.0,108.0,Etdrick Bohannon
1999-00,26.0,NYK,NBA,PF,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,43.1,0.75,10.8,0.0,10.8,0.0,0.0,0.0,21.5,10.8,32.3,90.0,110.0,Etdrick Bohannon
1999-00,26.0,LAC,NBA,PF,11.0,0.0,113.0,3.2,5.9,0.538,0.0,0.0,0.0,3.2,5.9,0.538,5.4,9.0,0.6,5.4,8.1,13.6,2.3,0.9,2.7,3.6,10.9,11.8,106.0,108.0,Etdrick Bohannon
2000-01,27.0,CLE,NBA,PF,6.0,0.0,19.0,5.5,11.1,0.5,0.0,0.0,0.0,5.5,11.1,0.5,11.1,11.1,1.0,8.3,11.1,19.4,0.0,0.0,5.5,2.8,11.1,22.2,136.0,101.0,Etdrick Bohannon
1989-90,21.0,CLE,NBA,SF,75.0,35.0,1339.0,7.9,16.9,0.47,0.0,0.3,0.0,7.9,16.6,0.477,4.7,6.2,0.762,3.1,5.6,8.7,1.9,1.2,1.0,2.6,5.6,20.6,105.0,109.0,Chucky Brown
1990-91,22.0,CLE,NBA,SF,74.0,51.0,1485.0,8.9,17.1,0.524,0.0,0.1,0.0,8.9,16.9,0.528,3.4,4.9,0.701,2.6,4.6,7.2,2.7,0.9,0.8,3.2,4.4,21.3,104.0,112.0,Chucky Brown
1991-92,23.0,TOT,NBA,SF,42.0,2.0,431.0,7.2,15.4,0.469,0.0,0.4,0.0,7.2,15.0,0.48,3.6,5.9,0.612,3.7,6.1,9.8,3.1,1.4,0.8,3.5,5.8,18.0,99.0,110.0,Chucky Brown
1991-92,23.0,CLE,NBA,SF,6.0,0.0,50.0,5.1,10.1,0.5,0.0,0.0,0.0,5.1,10.1,0.5,5.1,8.1,0.625,2.0,4.0,6.1,3.0,3.0,0.0,2.0,7.1,15.2,111.0,108.0,Chucky Brown
1991-92,23.0,LAL,NBA,SF,36.0,2.0,381.0,7.5,16.1,0.466,0.0,0.4,0.0,7.5,15.7,0.478,3.4,5.6,0.61,4.0,6.4,10.4,3.1,1.2,1.0,3.7,5.6,18.4,98.0,110.0,Chucky Brown
1992-93,24.0,NJN,NBA,SF,77.0,20.0,1186.0,6.7,14.0,0.483,0.0,0.2,0.0,6.7,13.7,0.491,3.0,4.1,0.724,3.7,6.1,9.8,2.1,0.8,1.0,2.4,4.7,16.5,108.0,107.0,Chucky Brown
1993-94,25.0,DAL,NBA,SF,1.0,0.0,10.0,5.1,5.1,1.0,0.0,0.0,0.0,5.1,5.1,1.0,5.1,5.1,1.0,0.0,5.1,5.1,0.0,0.0,0.0,0.0,10.2,15.2,218.0,114.0,Chucky Brown
1994-95,26.0,HOU,NBA,SF,41.0,14.0,814.0,6.6,10.9,0.603,0.1,0.2,0.333,6.5,10.7,0.608,2.4,3.9,0.613,4.0,7.8,11.8,1.9,0.7,0.9,1.8,6.6,15.6,121.0,109.0,Chucky Brown
1995-96,27.0,HOU,NBA,PF,82.0,82.0,2019.0,7.7,14.2,0.541,0.0,0.2,0.125,7.6,14.0,0.547,2.7,3.8,0.693,3.4,7.8,11.2,2.3,1.2,1.0,2.4,4.2,18.0,110.0,108.0,Chucky Brown
1996-97,28.0,TOT,NBA,SF,70.0,1.0,757.0,5.5,10.9,0.506,0.1,0.4,0.167,5.4,10.4,0.52,3.3,4.9,0.671,2.9,7.5,10.4,2.0,0.6,1.6,1.3,7.0,14.4,116.0,109.0,Chucky Brown
1996-97,28.0,PHO,NBA,SF,10.0,0.0,83.0,8.1,16.1,0.5,0.0,0.0,0.0,8.1,16.1,0.5,5.0,6.8,0.727,1.9,8.1,9.9,2.5,0.0,1.2,2.5,8.7,21.1,107.0,110.0,Chucky Brown
1996-97,28.0,MIL,NBA,SF,60.0,1.0,674.0,5.2,10.2,0.508,0.1,0.5,0.167,5.1,9.7,0.525,3.1,4.7,0.661,3.0,7.5,10.5,1.9,0.7,1.6,1.2,6.8,13.5,118.0,109.0,Chucky Brown
1997-98,29.0,ATL,NBA,SF,77.0,8.0,1202.0,7.3,16.9,0.433,0.1,0.4,0.25,7.2,16.6,0.437,2.9,4.0,0.724,2.6,5.7,8.3,2.5,1.0,0.6,2.3,4.6,17.6,100.0,107.0,Chucky Brown
1998-99,30.0,CHH,NBA,PF,48.0,21.0,1192.0,7.9,16.7,0.472,0.7,1.8,0.375,7.2,14.9,0.483,1.8,2.6,0.678,1.6,6.2,7.8,2.6,0.7,0.9,1.7,4.8,18.3,101.0,106.0,Chucky Brown
1999-00,31.0,TOT,NBA,PF,63.0,29.0,1096.0,7.0,15.6,0.451,0.1,0.5,0.2,6.9,15.1,0.459,1.7,2.5,0.692,1.7,6.3,7.9,3.1,1.0,0.9,2.1,5.4,15.9,96.0,103.0,Chucky Brown
1999-00,31.0,SAS,NBA,PF,30.0,27.0,602.0,7.2,15.5,0.466,0.1,0.3,0.333,7.1,15.2,0.468,2.2,2.7,0.806,1.0,5.8,6.8,3.6,0.7,0.9,2.5,4.7,16.7,98.0,102.0,Chucky Brown
1999-00,31.0,CHH,NBA,PF,33.0,2.0,494.0,6.8,15.7,0.434,0.1,0.7,0.143,6.7,15.0,0.448,1.1,2.2,0.524,2.5,6.8,9.3,2.6,1.2,0.8,1.8,6.3,14.9,93.0,103.0,Chucky Brown
2000-01,32.0,TOT,NBA,SF,26.0,2.0,339.0,6.2,14.6,0.421,0.0,0.5,0.0,6.2,14.2,0.435,3.4,5.2,0.647,1.2,7.1,8.3,1.7,1.4,1.1,1.2,5.7,15.7,99.0,106.0,Chucky Brown
