SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
1997-98,24.0,IND,NBA,PF,5.0,0.0,11.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,6.5,13.1,19.6,3.3,0.0,6.5,9.8,9.8,0.0,Etdrick Bohannon
1998-99,25.0,WAS,NBA,SF,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Etdrick Bohannon
1999-00,26.0,TOT,NBA,PF,13.0,0.0,118.0,2.1,4.0,0.538,0.0,0.0,0.0,2.1,4.0,0.538,4.6,7.3,0.625,4.0,5.5,9.5,1.5,0.6,1.8,3.1,7.6,8.8,Etdrick Bohannon
1999-00,26.0,NYK,NBA,PF,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,28.8,0.75,7.2,0.0,7.2,0.0,0.0,0.0,14.4,7.2,21.6,Etdrick Bohannon
1999-00,26.0,LAC,NBA,PF,11.0,0.0,113.0,2.2,4.1,0.538,0.0,0.0,0.0,2.2,4.1,0.538,3.8,6.4,0.6,3.8,5.7,9.6,1.6,0.6,1.9,2.5,7.6,8.3,Etdrick Bohannon
2000-01,27.0,CLE,NBA,PF,6.0,0.0,19.0,3.8,7.6,0.5,0.0,0.0,0.0,3.8,7.6,0.5,7.6,7.6,1.0,5.7,7.6,13.3,0.0,0.0,3.8,1.9,7.6,15.2,Etdrick Bohannon
1989-90,21.0,CLE,NBA,SF,75.0,35.0,1339.0,5.6,12.0,0.47,0.0,0.2,0.0,5.6,11.8,0.477,3.4,4.4,0.762,2.2,4.0,6.2,1.3,0.9,0.7,1.9,4.0,14.7,Chucky Brown
1990-91,22.0,CLE,NBA,SF,74.0,51.0,1485.0,6.4,12.2,0.524,0.0,0.1,0.0,6.4,12.1,0.528,2.4,3.5,0.701,1.9,3.3,5.2,1.9,0.6,0.6,2.3,3.2,15.2,Chucky Brown
1991-92,23.0,TOT,NBA,SF,42.0,2.0,431.0,5.0,10.7,0.469,0.0,0.3,0.0,5.0,10.4,0.48,2.5,4.1,0.612,2.6,4.3,6.8,2.2,1.0,0.6,2.4,4.0,12.5,Chucky Brown
1991-92,23.0,CLE,NBA,SF,6.0,0.0,50.0,3.6,7.2,0.5,0.0,0.0,0.0,3.6,7.2,0.5,3.6,5.8,0.625,1.4,2.9,4.3,2.2,2.2,0.0,1.4,5.0,10.8,Chucky Brown
1991-92,23.0,LAL,NBA,SF,36.0,2.0,381.0,5.2,11.1,0.466,0.0,0.3,0.0,5.2,10.9,0.478,2.4,3.9,0.61,2.7,4.4,7.2,2.2,0.9,0.7,2.6,3.9,12.8,Chucky Brown
1992-93,24.0,NJN,NBA,SF,77.0,20.0,1186.0,4.9,10.0,0.483,0.0,0.2,0.0,4.9,9.9,0.491,2.2,3.0,0.724,2.7,4.4,7.0,1.5,0.6,0.7,1.7,3.4,11.9,Chucky Brown
1993-94,25.0,DAL,NBA,SF,1.0,0.0,10.0,3.6,3.6,1.0,0.0,0.0,0.0,3.6,3.6,1.0,3.6,3.6,1.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,7.2,10.8,Chucky Brown
1994-95,26.0,HOU,NBA,SF,41.0,14.0,814.0,4.6,7.7,0.603,0.0,0.1,0.333,4.6,7.6,0.608,1.7,2.7,0.613,2.8,5.5,8.4,1.3,0.5,0.6,1.3,4.6,11.0,Chucky Brown
1995-96,27.0,HOU,NBA,PF,82.0,82.0,2019.0,5.3,9.9,0.541,0.0,0.1,0.125,5.3,9.8,0.547,1.9,2.7,0.693,2.4,5.5,7.9,1.6,0.8,0.7,1.7,2.9,12.6,Chucky Brown
1996-97,28.0,TOT,NBA,SF,70.0,1.0,757.0,3.7,7.3,0.506,0.0,0.3,0.167,3.7,7.0,0.52,2.2,3.3,0.671,1.9,5.1,7.0,1.3,0.4,1.0,0.9,4.8,9.7,Chucky Brown
1996-97,28.0,PHO,NBA,SF,10.0,0.0,83.0,5.6,11.3,0.5,0.0,0.0,0.0,5.6,11.3,0.5,3.5,4.8,0.727,1.3,5.6,6.9,1.7,0.0,0.9,1.7,6.1,14.7,Chucky Brown
1996-97,28.0,MIL,NBA,SF,60.0,1.0,674.0,3.5,6.8,0.508,0.1,0.3,0.167,3.4,6.5,0.525,2.1,3.2,0.661,2.0,5.0,7.1,1.3,0.5,1.1,0.8,4.6,9.1,Chucky Brown
1997-98,29.0,ATL,NBA,SF,77.0,8.0,1202.0,4.8,11.1,0.433,0.1,0.2,0.25,4.8,10.9,0.437,1.9,2.6,0.724,1.7,3.8,5.5,1.6,0.7,0.4,1.5,3.0,11.6,Chucky Brown
1998-99,30.0,CHH,NBA,PF,48.0,21.0,1192.0,5.3,11.3,0.472,0.5,1.2,0.375,4.9,10.1,0.483,1.2,1.8,0.678,1.1,4.2,5.3,1.7,0.5,0.6,1.1,3.2,12.3,Chucky Brown
1999-00,31.0,TOT,NBA,PF,63.0,29.0,1096.0,4.9,10.8,0.451,0.1,0.3,0.2,4.8,10.4,0.459,1.2,1.7,0.692,1.1,4.3,5.5,2.2,0.7,0.6,1.5,3.7,11.0,Chucky Brown
1999-00,31.0,SAS,NBA,PF,30.0,27.0,602.0,4.9,10.5,0.466,0.1,0.2,0.333,4.8,10.3,0.468,1.5,1.9,0.806,0.7,3.9,4.6,2.5,0.5,0.6,1.7,3.2,11.4,Chucky Brown
