SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
1997-98,23.0,SAC,NBA,SG,59.0,16.0,959.0,7.8,19.4,0.403,0.2,1.0,0.211,7.6,18.4,0.414,4.6,6.8,0.672,2.4,3.9,6.3,2.8,1.9,0.7,3.5,4.4,20.4,91.0,108.0,Tariq Abdul-Wahad
1998-99,24.0,SAC,NBA,SG,49.0,49.0,1205.0,7.3,16.9,0.435,0.2,0.9,0.286,7.1,16.0,0.443,3.9,5.6,0.691,3.0,4.7,7.7,2.1,2.1,0.7,2.9,5.0,18.8,98.0,104.0,Tariq Abdul-Wahad
1999-00,25.0,TOT,NBA,SG,61.0,56.0,1578.0,8.6,20.3,0.424,0.1,0.7,0.13,8.5,19.6,0.435,4.6,6.1,0.756,3.2,6.0,9.2,3.1,1.9,0.9,3.3,4.6,21.9,98.0,103.0,Tariq Abdul-Wahad
1999-00,25.0,ORL,NBA,SG,46.0,46.0,1205.0,9.1,21.1,0.433,0.1,0.9,0.095,9.0,20.2,0.447,4.7,6.2,0.762,3.2,6.6,9.8,2.9,2.2,0.7,3.6,4.7,23.0,98.0,101.0,Tariq Abdul-Wahad
1999-00,25.0,DEN,NBA,SG,15.0,10.0,373.0,6.9,17.8,0.389,0.1,0.3,0.5,6.8,17.5,0.388,4.2,5.7,0.738,3.3,3.8,7.1,3.5,0.8,1.6,2.6,4.2,18.2,96.0,109.0,Tariq Abdul-Wahad
2000-01,26.0,DEN,NBA,SG,29.0,12.0,420.0,5.3,13.7,0.387,0.5,1.2,0.4,4.8,12.5,0.386,2.6,4.4,0.583,1.7,5.6,7.3,2.7,1.7,1.6,4.2,6.7,13.7,79.0,106.0,Tariq Abdul-Wahad
2001-02,27.0,TOT,NBA,SG,24.0,12.0,441.0,6.6,17.7,0.374,0.1,0.2,0.5,6.5,17.4,0.372,2.9,4.0,0.727,4.9,5.2,10.1,2.9,2.4,1.2,3.2,6.7,16.2,90.0,107.0,Tariq Abdul-Wahad
2001-02,27.0,DEN,NBA,SG,20.0,12.0,417.0,7.0,18.5,0.379,0.1,0.3,0.5,6.9,18.2,0.378,3.1,4.1,0.75,5.0,5.0,9.9,2.8,2.3,1.1,3.1,6.5,17.2,92.0,108.0,Tariq Abdul-Wahad
2001-02,27.0,DAL,NBA,SG,4.0,0.0,24.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,2.2,0.0,4.3,8.6,12.9,4.3,4.3,2.2,6.5,10.8,0.0,41.0,99.0,Tariq Abdul-Wahad
2002-03,28.0,DAL,NBA,SG,14.0,0.0,204.0,6.9,14.7,0.466,0.0,0.3,0.0,6.9,14.5,0.474,0.8,1.5,0.5,3.6,6.6,10.2,5.3,1.5,0.8,1.8,6.6,14.5,106.0,103.0,Tariq Abdul-Wahad
1999-00,24.0,DEN,NBA,SF,52.0,0.0,589.0,4.0,10.1,0.393,0.1,0.8,0.111,3.9,9.3,0.417,3.3,4.6,0.717,6.5,3.4,9.8,1.7,3.4,1.1,1.2,8.2,11.3,113.0,104.0,Ryan Bowen
2000-01,25.0,DEN,NBA,SF,57.0,0.0,696.0,6.0,10.7,0.556,0.3,0.8,0.364,5.7,9.9,0.571,2.0,3.3,0.614,4.6,3.8,8.4,2.2,2.8,0.9,1.8,7.1,14.2,117.0,106.0,Ryan Bowen
2001-02,26.0,DEN,NBA,SF,75.0,21.0,1686.0,4.6,9.7,0.479,0.0,0.4,0.083,4.6,9.3,0.495,2.2,2.9,0.75,4.2,5.2,9.4,1.6,2.4,1.3,1.3,5.4,11.5,113.0,107.0,Ryan Bowen
2002-03,27.0,DEN,NBA,SG,62.0,31.0,996.0,5.1,10.4,0.492,0.1,0.4,0.286,5.0,10.1,0.5,1.4,2.2,0.659,4.1,4.2,8.3,2.9,3.4,1.5,2.3,4.3,11.8,103.0,99.0,Ryan Bowen
