SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2007-08,21.0,MIN,NBA,SF,79.0,1803.0,0.374,0.457,0.389,0.484,0.19399999999999998,0.36200000000000004,0.382,0.49700000000000005,0.8,0.755,0.429,0.54,0.226,0.306,0.07400000000000001,0.222,82.0,80.0,54.0,77.0,106.0,79.0,74.0,33.0,-112.5,-118.4,Corey Brewer
2008-09,22.0,MIN,NBA,SF,15.0,307.0,0.41100000000000003,0.45899999999999996,0.41,0.485,0.41700000000000004,0.36700000000000005,0.439,0.5,0.737,0.7709999999999999,0.473,0.544,0.21100000000000002,0.306,0.133,0.22399999999999998,90.0,85.0,114.0,88.0,96.0,87.0,69.0,60.0,-11.0,-14.1,Corey Brewer
2009-10,23.0,MIN,NBA,SG,82.0,2482.0,0.431,0.461,0.45899999999999996,0.49200000000000005,0.34600000000000003,0.355,0.474,0.501,0.648,0.759,0.502,0.5429999999999999,0.27,0.3,0.25,0.222,93.0,93.0,98.0,95.0,85.0,92.0,90.0,112.0,-50.4,-86.8,Corey Brewer
2010-11,24.0,TOT,NBA,"SF,SG",69.0,1510.0,0.395,0.45899999999999996,0.434,0.48700000000000004,0.268,0.358,0.426,0.498,0.708,0.763,0.48200000000000004,0.541,0.39299999999999996,0.3,0.23,0.222,86.0,89.0,75.0,86.0,93.0,89.0,131.0,103.0,-70.4,-67.9,Corey Brewer
2010-11,24.0,MIN,NBA,SF,56.0,1362.0,0.384,0.45899999999999996,0.42,0.48700000000000004,0.263,0.358,0.414,0.498,0.708,0.763,0.47100000000000003,0.541,0.391,0.3,0.22699999999999998,0.222,84.0,86.0,73.0,83.0,93.0,87.0,130.0,102.0,-73.6,-71.7,Corey Brewer
2010-11,24.0,DAL,NBA,SG,13.0,148.0,0.49,0.45899999999999996,0.5529999999999999,0.48700000000000004,0.308,0.358,0.529,0.498,0.7140000000000001,0.763,0.573,0.541,0.41200000000000003,0.3,0.255,0.222,107.0,113.0,86.0,106.0,94.0,106.0,137.0,115.0,3.2,3.8,Corey Brewer
2011-12,25.0,DEN,NBA,SF,59.0,1287.0,0.434,0.44799999999999995,0.5,0.47700000000000004,0.26,0.349,0.47,0.48700000000000004,0.6920000000000001,0.752,0.505,0.527,0.281,0.276,0.27399999999999997,0.226,97.0,105.0,75.0,96.0,92.0,96.0,102.0,122.0,-16.2,-23.4,Corey Brewer
2012-13,26.0,DEN,NBA,SF,82.0,2003.0,0.425,0.45299999999999996,0.493,0.483,0.29600000000000004,0.359,0.47600000000000003,0.496,0.69,0.753,0.506,0.535,0.245,0.27,0.348,0.243,94.0,102.0,83.0,96.0,92.0,95.0,90.0,143.0,-35.7,-55.8,Corey Brewer
2013-14,27.0,MIN,NBA,SF,81.0,2609.0,0.48100000000000004,0.45399999999999996,0.552,0.488,0.28,0.36,0.517,0.501,0.718,0.7559999999999999,0.55,0.541,0.281,0.284,0.261,0.259,106.0,113.0,78.0,103.0,95.0,102.0,99.0,101.0,26.3,17.0,Corey Brewer
2014-15,28.0,TOT,NBA,SF,80.0,2087.0,0.426,0.449,0.491,0.485,0.268,0.35,0.465,0.496,0.743,0.75,0.507,0.534,0.281,0.273,0.292,0.268,95.0,101.0,77.0,94.0,99.0,95.0,103.0,109.0,-49.4,-49.2,Corey Brewer
2014-15,28.0,MIN,NBA,SF,24.0,680.0,0.418,0.449,0.467,0.485,0.195,0.35,0.436,0.496,0.705,0.75,0.484,0.534,0.34700000000000003,0.273,0.182,0.268,93.0,96.0,56.0,88.0,94.0,91.0,127.0,68.0,-27.1,-26.0,Corey Brewer
2014-15,28.0,HOU,NBA,SF,56.0,1407.0,0.429,0.449,0.503,0.485,0.284,0.35,0.47700000000000004,0.496,0.764,0.75,0.516,0.534,0.255,0.273,0.33399999999999996,0.268,96.0,104.0,81.0,96.0,102.0,97.0,93.0,125.0,-22.2,-23.2,Corey Brewer
2015-16,29.0,HOU,NBA,SF,82.0,1669.0,0.384,0.452,0.46,0.491,0.272,0.354,0.439,0.502,0.75,0.757,0.48100000000000004,0.541,0.254,0.276,0.406,0.285,85.0,94.0,77.0,87.0,99.0,89.0,92.0,143.0,-69.7,-74.2,Corey Brewer
2016-17,30.0,TOT,NBA,SF,82.0,1281.0,0.42200000000000004,0.457,0.522,0.503,0.22899999999999998,0.358,0.461,0.514,0.735,0.772,0.491,0.552,0.195,0.271,0.33899999999999997,0.316,92.0,104.0,64.0,90.0,95.0,89.0,72.0,107.0,-36.5,-46.5,Corey Brewer
2016-17,30.0,HOU,NBA,SF,58.0,923.0,0.414,0.457,0.541,0.503,0.23399999999999999,0.358,0.46299999999999997,0.514,0.727,0.772,0.491,0.552,0.19399999999999998,0.271,0.414,0.316,91.0,108.0,65.0,90.0,94.0,89.0,72.0,131.0,-23.2,-30.2,Corey Brewer
